,Unnamed: 0.1,job_title,skill,Industry,Function,Role,Education,job_desc_clean
10,322,"Project Manager, Banking",".Net Project Manager
Java/J2EE
Project Manager",Recruitment/Staffing/RPO,IT,Project Management,,"Responsibilities Manage implementation project daily basis regard schedules, budget, manpower quality. Analyse document requirements liaising range people including users managers. Establish prepare project plans, risk management plans, project milestones deliverables consultation business users architect/designer. Manage scope definition change control mechanism. Escalate discuss project overrun issues, scope creep, integration issues, resource requirement. Manage integration various components project including hardware, software installation, testing, business process review, redesign, application development, migration data conversion, etc. Manage project activities ensure timely delivery, including identification critical path, monitoring driving completion interdependent activities adjustment project schedules. Achieve overall completion deadline. Manage resources including hardware, software, human resource facilities logistics required project Ensure meeting customers requirement conforms quality management process, standards procedures minimise rework system failures. Define project resources, performance reviews post implementation evaluations. Negotiate vendors across teams ensure adequate resources available various phases project. Build relationships users, technical staff management determine resolve issues associated systems implementation. Manage contracts subcontractors. Negotiate customers change request effort, schedules prioritize changes based business needs. Clear open communication customers project issues clarifications. Liaise team members ensure tasks deliverables proceeding according schedule. Plan, track, monitor tasks assigned team leader/members. Delegate tasks effectively providing clear specific instructions goals. Provide leadership project team ensure proposals/enhancements fully analysed evaluated benefits costs. Provide project team accurate information business needs priorities well details existing business systems. Participate leadership activities providing performance feedback developmental coaching. Monitor improve team performance, providing leadership, coaching, performance management. Requirements Degree Information Systems equivalent. Certified IT Application Project Managementis plus. At least 5 6 years IT project management experience .Net applications project banking domain. Must dealt P&L previously. Experience development, implementation support information technology projects range organizations. Self motivated positive ""can-do"" attitude, creative excellent presentation, communication, negotiation interpersonal skills. Strong persuasive techniques. Able lead, develop maintain respectful trusting relationship. Proficient written spoken English. Interested: Please send updated CV MSWORD FORMAT (mailto:sales@quinnox-solutions.com) Kindly indicate availability, current expected remuneration package. We regret shortlisted candidates notified. Quinnox Solutions Pte Ltd (License Number: 06C3126) Registered EA Personnel (Reg. No.:R1111100)"
11,477,Private Banking Risk Analyst,Private Banking Risk Analyst,Recruitment/Staffing/RPO,Finance & Accounts,Creative & Design,,"Job Description : A global private bank looking Credit Risk Analyst 3-6 years experience. In role, performing counterparty credit risk analysis, monitoring following credit risk, producing various risk reports. The successful candidate must following: University degree equivalent, preferably Banking Finance 3-6 years relevant experience related industry, preferably Private Banking Good communication interpersonal skills fluency English Ability work stressful fast pace environment Customer oriented, self-motivated meticulous If believe fit requirements role, please click APPLY NOW call 6854 5620 confidential discussion, send CV directly arya.zhao@ambition.com.sg Data provided recruitment purposes only. Business License Number: 200611680D. EA Registration Number: R1656980 Ambition recruits behalf exceptional companies due unprecedented growth, Ambition also looking talented individuals join fantastic recruitment business. To apply Ambition's current global opportunities click ."
12,488,"Senior AVP, Private Banking Audit","Senior AVP
Private Banking Audit",Recruitment/Staffing/RPO,Finance & Accounts,Accountant,,"Job Description : An international bank looking hire experienced Senior AVP Private Banking Audit team. This exciting opportunity cover teh bank's private consumer banking segments. The role involve audits Consumer/Private Banking utilising Group Audit risk based audit approach evaluating governance framework, risk management regulatory compliance processes internal controls systems. The incumbent review assess appropriateness audit findings, recommendations management responses. He/she also participate strategic projects enhance Bank's audit risk management framework. The successful candidate must following: 6-9 years private banking/wealth maagement audits Specific exposure AML front office audit assigments Experience data analytics audits Ability work stakeholders multiple functions Excellent communication skills If believe fit requirements role, please click APPLY NOW drop email Sumukhi.Ramnath@ambition.com.sg Data provided recruitment purposes only. Business License Number: 200611680D. EA Registration Number: R1656980 *LI-BFS Ambition recruits behalf exceptional companies due unprecedented growth, Ambition also looking talented individuals join fantastic recruitment business. To apply Ambition's current global opportunities click ."
13,547,Personal Banker / Relationship Manager,,Recruitment/Staffing/RPO,"Banking, Insurance & Financial Services",Insurance Operations Officer,,"Job Description : Responsibilities: You acquire service retail banking clients Provide financial advisory planning services clients regards wealth management products Proactively seek identify customer's needs cross-sell wealth management products effectively Deliver high quality service clients The ideal candidate possess following: At least Diploma/Degree CMFAS modules/certifications added advantage Applicants experience considered, fresh grads looking venture banking sales may apply Knowledge sales relationship building process Driven self-motivated individual passion excel sales Good communication interpersonal skills If believe fit requirements role, please click APPLY NOW drop email . Only shortlisted candidates notified. Data provided recruitment purposes Business Registration Number: 200611680D. Licence Number: 10C5117 EA Personal Registration Number: R1874269. *LI - BF Ambition recruits behalf exceptional companies due unprecedented growth, Ambition also looking talented individuals join fantastic recruitment business. To apply Ambition's current global opportunities click ."
14,567,Contract Telesales Officer(Bank)-12months (1500+up to 5000 comm),,Recruitment/Staffing/RPO,Sales/ Business Development,Customer Service Executive,,"Job Description : Contract Telesales Officer (Bank) 12 months (Renewable; based performance) 9.00 6.30 pm (Monday - Friday) Basic $1,500/ month + Monthly Commission (Up $5,000 - Based performance) Raffles Place (Bank) Job Description: Engage telesales efforts promote credit cards/credit facilities/loans existing new clients Cross selling banking products & services Respond customers enquiries facilitate resolution problems anticipating customers needs. Work closely Team Leader develop implement sales service strategies achieve exceed sales targets. Period: 12 months (Renewable; based performance) Working Hours: 9.00 6.30 pm (Monday - Friday) Working Location: Raffles Place (Bank) Salary: Basic $1,500/ month Monthly Commission (Up $5,000 - Based performance) Job Requirements: Min GCE 'N' Level Preferably applicants sales/telesales/call centre/customer service experience Good communication interpersonal skills Customer service oriented sales/target driven Possess drive, initiative & ability work independently Interested applicants, kindly email detailed resume (MS Word format preferred): (Reg No: R1107390) Please ensure applications sent email bigger 1Mb. We thank applicants interest regret inform shortlisted candidates would notified. Success Human Resource Centre Pte Ltd (EA License Number: 97C4832) 1 Sophia Road, Peace Centre, #06-23/29 Singapore 228149 T: 6337 3183 | F: 6337 0329 | W: www.successhrc.com.sg"
15,609,"Bank Telesales (Credit Insurance) - Up to 3500, Novena","Consumer Banking
Consumer Sales
Customer Service
Telesales/Telemarketing
'N' Levels / 'O' Levels
ITE/ NITEC/ Higher NITEC
Diploma",Recruitment/Staffing/RPO,Manufacturing/ Engineering/ R&D,HR Executive,,"Job Description Bank Telesales (Credit Insurance) Up $3500, Novena Contract (1 year) Mon-Fri: 9am-6.30pm Novena Up $3500 Responsibilities Promote & sell Life Insurance To achieve individual sales targets. To adhere professional standards behaviour & conduct dealing customers fellow staff. To continuously think ahead help develop solutions emerging problems To continuously suggest ways improving team whole To actively tele-market Bank's products customers generate sales revenue. To call company provided leads customers. Working Hours Monday - Friday (9.00am - 6.30PM) Contractual Period 1 Year (Renewable) Location Novena Salary Up $3500 Requirements: Candidate must possess least Secondary School ""N"" Level Applicants must willing work Novena/Toa Payoh Raffles Area. Passion drive launch sales career next level. Good Communication Skills Self-starter, independent possess excellent interpersonal communication skills Comfortable Quotas Sales Targets Candidates must able commit Overtime needed Relevant sales/acquisition experience proven track record plus Must M5 M9 Interested applicants, kindly email detailed resume (MS Word format preferred): (Reg No: R1107386) Please ensure applications sent email bigger 1Mb. We thank applicants interest regret inform shortlisted candidates would notified. Success Human Resource Centre Pte Ltd (EA License Number: 97C4832) 1 Sophia Road, Peace Centre, #06-23/29 Singapore 228149 T: 6337 3183 | F: 6337 0329 | W:"
16,624,Loans Consolidation Specialist (Local Bank) Up to 2300 - Comm + Allowance + Bonuses,"Consumer Banking
Corporate Banking
Credit & Loan
Sales Support/Coordination
'N' Levels / 'O' Levels
ITE/ NITEC/ Higher NITEC
Diploma",Recruitment/Staffing/RPO,Sales/ Business Development,Customer Service Executive,,"Job Description Loans Consolidation Specialist LOCAL BANK NORMAL OFFICE HOURS BASIC UP TO $2200 + COMMISSION + MOBILE ALLOWANCE + BONUSES Responsibilities: Assist customers securing loans loans consolidation Provide quality efficient sales services follow ups customers acquired Deliver retail banking products knowledge customers To follow documents required application submission. Working Hours: 5 days work week Normal office hours Employment Period: 12 Months contract (renewable yearly basis depending performance management discretion) Location: United Square @ Novena Salary: Basic Salary: Up $2200 + Commission + $100 Mobile Allowance + Yearly Performance Bonus + Contract Bonus Requirements: Applicants sales driven & customer service oriented. Min GCE N level holders Highly motivated, driven, able work fast paced environment. Interested applicants, kindly email detailed resume (MS Word format preferred): (Reg No: R1107386) (Reg No:R1549023) Please ensure applications sent email bigger 1Mb. We thank applicants interest regret inform shortlisted candidates would notified. Success Human Resource Centre Pte Ltd (EA License Number: 97C4832) 1 Sophia Road, Peace Centre, #06-23/29 Singapore 228149 T: 6337 3183 | F: 6337 0329 | W: www.successhrc.com.sg"
17,628,Merchant Acquisition (Retail or eCommerce) - Bank / Up to 2500 nego / Raffles Place,"Account Management
Business Development
Consumer Sales
Corporate Sales
'A' Levels
Diploma
Bachelor's / Honours",Recruitment/Staffing/RPO,Sales/ Business Development,Software Engineer/ Programmer,,"Job Description Merchant Acquisition (Retail eCommerce) 1 Year Contract (Subject renewal/ conversion) Mon Fri: 9.00am 6.30pm $2,000 - $2,500 nego + Incentives + AWS Raffles Place (Bank) Job Responsibilities: As Merchant Acquisition, required able achieve personal revenue goals acquire new SME business various industry utilizing effective sales accounts management techniques, leveraging solutions offering infrastructure. The individual also responsible merchant enquiries, ad hoc request develop excellent customer services. Attend new/potential merchant enquiries, setting new merchants applications acquiring new merchants; communicate proactively merchant business issues opportunities Prospecting new accounts manages portfolio accounts primarily covering spectrum SME companies operating Singapore New merchant acquisitions developing merchant relationships Involved implementation strategic plans new program requirements design solutions acquiring, growing retaining business Capitalized solutions cross-sell and, corporate cards marketings clients Monitor chargeback fraud volumes merchant accounts ensure follow-up programs implemented response red flags high risk merchants To ensure merchant business activities documentation comply within merchant business risk policy To monitor weed inactive non-profitable merchants To ready take new assignment ready move next level Period: 1 Year Contract (Subject renewal/ conversion) Working Hours: Mon Fri: 9.00am 6.30pm Salary: $2,000 - $2,500 nego + Incentives + AWS Taxi claim Mobile phone allowances provided AWS provided completion 1 year service based Individual performance Location: Raffles Place (Bank) Job Requirements: Minimum GCE A Level diploma related discipline required Excellent communication selling skills across levels Team player effective interpersonal skills Result oriented self-motivated Possess drive, initiative works well within team business partners. Excellent new relationship building skills Interested applicants, kindly email detailed resume (MS Word format preferred): (Reg No: R1107390) Please ensure applications sent email bigger 1Mb. We thank applicants interest regret inform shortlisted candidates would notified. Success Human Resource Centre Pte Ltd (EA License Number: 97C4832) 1 Sophia Road, Peace Centre, #06-23/29 Singapore 228149 T: 6337 3183 | F: 6337 0329 | W: www.successhrc.com.sg"
18,657,Business Development Manager (Personal Banking),Business Development Manager (Personal Banking),Any,Sales/ Business Development,Customer Service Executive,,"At Prudential, understand success comes talent commitment people. Together, shared vision securing future customers communities. We strive build business shape, inclusive workplace everyones ideas valued culture thrive together. Our people stay connected tuned whats happening around us, keeping us ahead curve. While focused long-term, look future bring growth, development benefit everyone whose lives touch. Job Profile Summary: The Business Development Manager responsible overall BAU operations ensure processes place running effectively efficiently. This includes central point contact managing overall partnership Bank ensure processes place identify synergies across projects initiatives facilitate collaboration Job Description: Devise execute customer/product propositions/strategies raise productivity within Bank Wealth Banking Privilege Banking segments Work closely Bank stakeholders (Team Heads, Bankers, Bancassurance Managers, Cluster Heads) ensure achievement Bancassurance targets, manager also required share market intelligence, sales/customer statistics sales concepts relevant stakeholders. Identify individual sellers need additional coaching meet higher production targets. Devise coaching methodology conduct effective coaching sessions Perform regular morning briefing branches segment gathering drive desired agenda Perform adhoc request assist, facilitate coordinate segment activities seminars briefings Who looking for: Competencies & Personal Traits Exhibit ability deliver effective communication excellent interpersonal skills Possess strong leadership qualities mind towards excellence Analytical strong problem solving abilities Dynamic individual strives fast moving environment Strong analytical, quantitative, problem solving, communication (written verbal), presentation, relationship management skills; high degree tact. Working Experience Diploma / Degree least 3-5 years relevant experience successful track records Prior Bancassurance experience preferred CMFAS certification Module 5, 8, 8A, 9, 9A & HI (Preferred) Education Diploma/Degree Finance/Business relevant fields studies Language English"
19,670,Bank Sales Executives - Unsecured Loans Up to 2800 (with OT Pay + Commissions + Bonus),"Consumer Sales
Corporate Banking
Corporate Sales
Insurance Agents/Brokers
ITE/ NITEC/ Higher NITEC
'A' Levels
Diploma",Recruitment/Staffing/RPO,Human Resources,HR Executive,,"Job Description With Yearly Performance Bonus With Monthly Commission Leads Provided Walking Distance Novena MRT Normal Office Hours Responsibilities Promote & sell Life Insurance To cross sell personal loans To achieve individual sales targets. To adhere professional standards ofbehaviour& conduct dealing customers fellow staff. To continuously think ahead help develop solutions emerging problems To continuously suggest waysinimproving team whole To activelytele-marketthe Bank's products customers generate sales revenue. To call company provided leads customers. Working Hours Monday - Friday (9.00am - 6.30PM) Contractual Period 1 Year Contract (Renewable) Location Novena Salary Up $2800) + Bonus (Up 1 Month) + Commission Requirements: Full GCE A Level (2 AS/ 2OS) local polytechnic Diploma holders M5 M9 ( Candidates related experience M5 M9 mightbe considerbase oncaseto case). Interested applicants, kindly email detailed resume (MS Word format preferred): (Reg No: R1107386) Please ensure applications sent email bigger 1Mb. We thank applicants interest regret inform shortlisted candidates would notified. Success Human Resource Centre Pte Ltd (EA License Number: 97C4832) 1 Sophia Road, Peace Centre, #06-23/29 Singapore 228149 T: 6337 3183 | F: 6337 0329 | W: www.successhrc.com.sg"
