,Unnamed: 0,job_title,skill,job_desc,Industry,Function,Role,Education,job_desc_clean
20,938,Senior Test Process Software Engineer,,"184199 Senior Test Process Software Engineer (Open)
Description
1) Develop Test Process software for drive storage products
2) Providerobust testsoftware solutions to accommodate customers, quality andTestProcess requirements
3) Formulate and develop innovative and radical solutions to optimize Test Process software for yield, test time and efficiency improvement
4)Collaboratewith US design centers to work within a common development framework
Qualifications
1) Master / Bachelor Degree in Computer Science or Electronics / Electrical Engineering
2) Experience in Object Oriented Programming and Python software development under Linux environment is required
3) Experience in the following is a plus : XML, C/C++
4) Knowledge of SATA and SAS interface protocol,Artificial Intelligenceis preferred
5) Independent with strong analytical mind and self motivatedJob Family: Engineering Professional",Any,IT,Testing,,"184199 Senior Test Process Software Engineer (Open) Description 1) Develop Test Process software drive storage products 2) Providerobust testsoftware solutions accommodate customers, quality andTestProcess requirements 3) Formulate develop innovative radical solutions optimize Test Process software yield, test time efficiency improvement 4)Collaboratewith US design centers work within common development framework Qualifications 1) Master / Bachelor Degree Computer Science Electronics / Electrical Engineering 2) Experience Object Oriented Programming Python software development Linux environment required 3) Experience following plus : XML, C/C++ 4) Knowledge SATA SAS interface protocol,Artificial Intelligenceis preferred 5) Independent strong analytical mind self motivatedJob Family: Engineering Professional"
21,995,Firmware/Software Engineer,,"184361 Firmware/Software Engineer (Open)
The Seagate Design Center is seeking a Senior Firmware Engineer to join our team in SSDC. In this position you will:
Analyze, design, and debug data management firmware/software enabling new advanced storage methods and media.
Work with firmware and hardware design teams to develop firmware methods implementing features for leading edge concepts in data storage products.
Debug and ensure data integrity and compatibility of new technologies through compatibility and reliability labs.
Work on significant and unique issues where analysis of situations or data requires evaluation of complex events.
Requirements:
BS / MS / PhD in Computer Engineering, Electrical Engineering with Computer Option (or equivalent), or Computer Science. Electrical Engineering with heavy focus on programming and computer architecture
3 or more years of software/firmware development experience (design, implementation, and debug)
Strong C/C++ programming skills and demonstrated structured programming experience
Expertise at data-analytical skills, preferably using Python or Excel
Demonstrated experience using code development tools (emulators, trace, version control, compilers and linkers)
Experience analyzing software defects, identifying root cause, and implementing corrective action
Preferred Qualifications:
Course work in Data Structure, Computer Architecture, Operating System, and/or Embedded Systems development
Knowledge of data storage systems
Hard Disc Drive experience (HDD)
Software performance analysis and optimization
Job Family: Engineering Professional",Any,IT,Software Engineer/ Programmer,,"184361 Firmware/Software Engineer (Open) The Seagate Design Center seeking Senior Firmware Engineer join team SSDC. In position will: Analyze, design, debug data management firmware/software enabling new advanced storage methods media. Work firmware hardware design teams develop firmware methods implementing features leading edge concepts data storage products. Debug ensure data integrity compatibility new technologies compatibility reliability labs. Work significant unique issues analysis situations data requires evaluation complex events. Requirements: BS / MS / PhD Computer Engineering, Electrical Engineering Computer Option (or equivalent), Computer Science. Electrical Engineering heavy focus programming computer architecture 3 years software/firmware development experience (design, implementation, debug) Strong C/C++ programming skills demonstrated structured programming experience Expertise data-analytical skills, preferably using Python Excel Demonstrated experience using code development tools (emulators, trace, version control, compilers linkers) Experience analyzing software defects, identifying root cause, implementing corrective action Preferred Qualifications: Course work Data Structure, Computer Architecture, Operating System, and/or Embedded Systems development Knowledge data storage systems Hard Disc Drive experience (HDD) Software performance analysis optimization Job Family: Engineering Professional"
22,1016,Embedded Software Engineer (Automotive),Embedded AND C++ AND AutoSAR AND Matlab,"Job responsibility:
Develop Software Functionalities for products in vehicles (eg. Body Control Modules, Access System, Network Devices, Seat Control System).
To derive Software Requirement from System Requirement.
To work closely with Software Architect during definition of the architecture and RTE Interface definition
To create detailed design and implementation of software modules in compliance with the requirement, software architecture and planned schedule
To conduct SW Unit and Integration Test with proper test specification.
To have regular coordination and alignment of tasking with Functional Responsible
Job requirements:
Degree in Engineering with more than 2 years of product software development.
Strong knowledge and experience in
Embedded-C
development.
Experience in formal software engineering methodology and Software Development Life Cycle.
Experience in Software Unit Testing and Integration Testing approach
Knowledge in Automotive Communication Bus (
CAN, LIN, Flexray
)
Knowledge in
AUTOSAR
and
Matlab
Modeling Auto code generation, Modeling Validation will be an added advantage.
Familiar with
CMMI, A-SPICE
Able to learn independently and work well under tight development schedules.
Must be able to travel for work attachment and training
Candidates with right experience in embedded software development shall be considered for Senior position
Candidates who possess the skills and experience are highly encouraged to send in their resumes by clicking on the 'APPLY' button or by writing in to godfrey.foo@globesoft.com.sg today!
EA Reg No.: R1107214 | Globesoft Services Pte Ltd | EA License No. 12C6296",Automotive/ Ancillaries,"•
IT
•
Manufacturing/ Engineering/ R&D",Software Engineer/ Programmer,"Bachelors
Degree","Job responsibility: Develop Software Functionalities products vehicles (eg. Body Control Modules, Access System, Network Devices, Seat Control System). To derive Software Requirement System Requirement. To work closely Software Architect definition architecture RTE Interface definition To create detailed design implementation software modules compliance requirement, software architecture planned schedule To conduct SW Unit Integration Test proper test specification. To regular coordination alignment tasking Functional Responsible Job requirements: Degree Engineering 2 years product software development. Strong knowledge experience Embedded-C development. Experience formal software engineering methodology Software Development Life Cycle. Experience Software Unit Testing Integration Testing approach Knowledge Automotive Communication Bus ( CAN, LIN, Flexray ) Knowledge AUTOSAR Matlab Modeling Auto code generation, Modeling Validation added advantage. Familiar CMMI, A-SPICE Able learn independently work well tight development schedules. Must able travel work attachment training Candidates right experience embedded software development shall considered Senior position Candidates possess skills experience highly encouraged send resumes clicking 'APPLY' button writing godfrey.foo@globesoft.com.sg today! EA Reg No.: R1107214 | Globesoft Services Pte Ltd | EA License No. 12C6296"
23,1022,Senior Software Engineer/Software Engineer – Designing Autonomous Mobility On-Demand,C++,"Project Overview
Within the project ""Studying Autonomous Vehicles Policies with Urban Planning in Singapore"", we aim to evaluate the feasibility of autonomous vehicle (AV) policies and investigate their land use and transport implications. The project focuses on the deployment of AVs in both greenfield and infill/brownfield areas in Singapore as well as the development of suitable urban design and AV operation schemes. Part of our research agenda involves the development of SimMobility, a microsimulation platform that integrates and links together various mobility-sensitive behavioral models with state-of-the-art simulators to predict impacts of mobility demands, infrastructure changes, and evolving transportation options on the deployment and delivery of people, firms, services and freight.
Responsibilities
The Future Urban Mobility Interdisciplinary Research Group is seeking a highly motivated Senior Software Engineer/Software Engineer, based at the SMART Centre in Singapore. The job scope includes:
Work with researchers and programmers to turn transport models into working code, including the design, implementation, and testing of the models and code.
Design and implement software systems using object-oriented analysis, design, and programming techniques.
Apply the software to simulate autonomous mobility-on-demand services which includes the configuration of the software, data preparation, data analysis and validation.
Requirements
The candidate should have the following:
Bachelor or Master’s Degree in Computer Science or a related field.
Highly conversant in C++ programming.
2-5 years’ experience in programming large software applications/simulators/game development.
Multi-threaded, parallel/distributing system programming experience.
Skilled in all aspects of software project life cycle: feasibility, requirements, design, implementation, integration, test and deployment.
Demonstrated ability to work independently
Good command of written and spoken English
Candidate with any of the following will have an advantage:
Knowledge on database programming and proficiency in SQL
Knowledge on Python, QT or LUA","•
Bio Technology & Life Sciences
•
Education
•
IT/ Computers - Software",IT,Software Engineer/ Programmer,"Bachelors
Degree
Masters
Post Graduate","Project Overview Within project ""Studying Autonomous Vehicles Policies Urban Planning Singapore"", aim evaluate feasibility autonomous vehicle (AV) policies investigate land use transport implications. The project focuses deployment AVs greenfield infill/brownfield areas Singapore well development suitable urban design AV operation schemes. Part research agenda involves development SimMobility, microsimulation platform integrates links together various mobility-sensitive behavioral models state-of-the-art simulators predict impacts mobility demands, infrastructure changes, evolving transportation options deployment delivery people, firms, services freight. Responsibilities The Future Urban Mobility Interdisciplinary Research Group seeking highly motivated Senior Software Engineer/Software Engineer, based SMART Centre Singapore. The job scope includes: Work researchers programmers turn transport models working code, including design, implementation, testing models code. Design implement software systems using object-oriented analysis, design, programming techniques. Apply software simulate autonomous mobility-on-demand services includes configuration software, data preparation, data analysis validation. Requirements The candidate following: Bachelor Master’s Degree Computer Science related field. Highly conversant C++ programming. 2-5 years’ experience programming large software applications/simulators/game development. Multi-threaded, parallel/distributing system programming experience. Skilled aspects software project life cycle: feasibility, requirements, design, implementation, integration, test deployment. Demonstrated ability work independently Good command written spoken English Candidate following advantage: Knowledge database programming proficiency SQL Knowledge Python, QT LUA"
24,1041,Software Engineer -Java,"cassandra
docker
microservices","•	Hands on Design, Development, Deployment & Support of Software products
•	Interact with Product Owners to design and deliver technical solutions to support various business functions
•	Provide thought leadership and lead innovation by exploring, investigating, recommending, benchmarking and implementing tools and frameworks.
•	Work in a Globally Distributed Development team environment to enable successful delivery with a minimal supervision
•	Advocate, document, and follow best design and development practices
Experience:
•	BS/MS CS/SE/EE degree or equivalent with 10+ years of experience in the field of Software Engineering and Development using Java/JEE/JavaScript
•	Minimum 8+ years of strong hands-on development experience with Java (7.0/8.0), JEE and related technologies
•	Minimum 5+ years of experience in building Platforms, Frameworks & API’s.
•	Proficient in at least one of the scripting languages: shell (bash) scripting, Python
•	Knowledge of NO-SQL technologies like Cassandra, MongoDB
•	Knowledge of security standards (NIST) and certifications
•	Excellent understanding of Micro services based architectures, Service oriented design & architecture, Application Integration & Messaging, Security and Web 2.0.
•	Strong understanding of design patterns and best practices in Java/JEE platform including UI, Application & Frameworks development.
•	Extensive hands-on development experience with frameworks and tools including Apache Stack, Web Services.
•	Strong Experience/Knowledge on Data modeling (RDBMS, XSD, JSON), Database/XML interaction, SQL, Stored Procedure and ORM.
•	Must have prior experience in leading Technical deliverables. Must be able to effectively communicate & work with fellow team members and other functional team members to coordinate & meet deliverables.
•	Exceptional communication, organization and presentation skills
•	Good understanding of CI/CD systems and Container based deployments on Docker.
Interested applicants please send us your full resume in MS Word format to job@quinnox-solutions.com Also kindly share your current salary, expected salary and notice period.
EA Personnel :
(R1441433)
Quinnox Solutions Pte. Ltd. (06C3126)","•
IT/ Computers - Hardware
•
IT/ Computers - Software",IT,"•
Software Engineer/ Programmer
•
Team Leader/ Technical Leader
•
Project Management
•
Technical Support Engineer",,"• Hands Design, Development, Deployment & Support Software products • Interact Product Owners design deliver technical solutions support various business functions • Provide thought leadership lead innovation exploring, investigating, recommending, benchmarking implementing tools frameworks. • Work Globally Distributed Development team environment enable successful delivery minimal supervision • Advocate, document, follow best design development practices Experience: • BS/MS CS/SE/EE degree equivalent 10+ years experience field Software Engineering Development using Java/JEE/JavaScript • Minimum 8+ years strong hands-on development experience Java (7.0/8.0), JEE related technologies • Minimum 5+ years experience building Platforms, Frameworks & API’s. • Proficient least one scripting languages: shell (bash) scripting, Python • Knowledge NO-SQL technologies like Cassandra, MongoDB • Knowledge security standards (NIST) certifications • Excellent understanding Micro services based architectures, Service oriented design & architecture, Application Integration & Messaging, Security Web 2.0. • Strong understanding design patterns best practices Java/JEE platform including UI, Application & Frameworks development. • Extensive hands-on development experience frameworks tools including Apache Stack, Web Services. • Strong Experience/Knowledge Data modeling (RDBMS, XSD, JSON), Database/XML interaction, SQL, Stored Procedure ORM. • Must prior experience leading Technical deliverables. Must able effectively communicate & work fellow team members functional team members coordinate & meet deliverables. • Exceptional communication, organization presentation skills • Good understanding CI/CD systems Container based deployments Docker. Interested applicants please send us full resume MS Word format job@quinnox-solutions.com Also kindly share current salary, expected salary notice period. EA Personnel : (R1441433) Quinnox Solutions Pte. Ltd. (06C3126)"
27,1082,Senior Java Software Engineer,"scripting
HTML
CSS
SQL
J2EE
Spring
API
authentication
JQuery
Python
Bash
Software
Android
JavaScript
Java","Senior Software Engineer (Java) – 2-year contract - Singapore
Be part of a major transformation project.
This transformation is to expand organization’s technology into Java. The ideal fit will have experience as a Full-Stack Developer. Experience in building Java microservices and frontend using Angular, JavaScript, JQuery, HTML and CSS.
It will be advantageous if you have knowledge or experience in test-driven development, CI/CD, deploying Docker containers and operating on Kubernetes. In other words, practicing Devops methodology.
Must-haves:
3 years or more experience on Java platform
Familiar with agile software engineering practice
Java programming, J2EE, Spring, Web API, Angular, HTML, CSS, JavaScript, SQL
Increase your chances with:
Experience working on enterprise-scale projects, or, fully participated in projects from scratch
Scrum, TDD
Docker, Kubernetes, MQ, CI/CD, Bash/Python scripting, iOS/Android mobile app, cloud technologies, authentication, security.
Please send your resume in WORD format by clicking the apply button below or contact Rosette Chong at +65 6701 1513 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1658433 (Chong Xinmei).",Recruitment/Staffing/RPO,IT,Software Engineer/ Programmer,,"Senior Software Engineer (Java) – 2-year contract - Singapore Be part major transformation project. This transformation expand organization’s technology Java. The ideal fit experience Full-Stack Developer. Experience building Java microservices frontend using Angular, JavaScript, JQuery, HTML CSS. It advantageous knowledge experience test-driven development, CI/CD, deploying Docker containers operating Kubernetes. In words, practicing Devops methodology. Must-haves: 3 years experience Java platform Familiar agile software engineering practice Java programming, J2EE, Spring, Web API, Angular, HTML, CSS, JavaScript, SQL Increase chances with: Experience working enterprise-scale projects, or, fully participated projects scratch Scrum, TDD Docker, Kubernetes, MQ, CI/CD, Bash/Python scripting, iOS/Android mobile app, cloud technologies, authentication, security. Please send resume WORD format clicking apply button contact Rosette Chong +65 6701 1513 confidential discussion. Please note short-listed candidates contacted. CEI Reg. Number R1658433 (Chong Xinmei)."
31,1208,Software Engineer Manager,SQL,"Responsibilities:
Provides technical supervision to and oversees the work of staff on a team. Guides and advises stakeholders on best practices for implementing or enhancing system. Work with management to design high-level system integrations involving in-house development or off-the-shelf products. Assess architectural impact of product enhancements on overall system and make recommendations to management.
•	The Software Engineering Manager will be responsible for leading the support and development team focused on back office software environment. This is a complex environment requiring interaction with multiple teams across the company: Traveler Services, Program Managers, Client-facing teams and technology teams.
•	Our goal is to standardize the Travcom environment across regions, and a significant part of the role will include process automation and improvement.
•	The role will also include development of automated services that allow for greater efficiencies across the support teams.
•	Represents project and deliverables of the team • Identifies resources needed for future projects • Performs fundamental managerial duties with the software team including hiring decision, performance feedback and workforce development • learn to Develop skillset as a mentor to a team. Begin to engage with more experienced leaders to navigate challenging technical and business situations.
•	Identifies and recommends project and activities as related to system direction and strategy. Establishes best practices and procedures/tools, programming standards, etc.deliverables.
•	Gathers and analyzes requirements; develops solutions/programs/reports, and implements technology.
Provides recommendations for strategic planning and system growth/future business needs. Manages team and enforces standard code repository and documentation.
Delivers system presentation and overview.
Collaborates with cross-team assets to create project timeline and assign tasks and • Troubleshoots problems involving complex difficult issues.
•	Meets with business analyst/stakeholder to determine requirements, gives input on prioritization to product owners.
•	Collaborates on development best practices and standards with development teams across the organization.
•	Acts as a subject matter expert on their product from both a technical and business perspective.
•	Provides Tier 2/3/4 Production Support for tools and applications developed.
Qualifications
Experience & education:
•	7+ years relevant experience required. Experience leading a technical project or initiative is helpful. Ability to navigate complex technical situations and to explain costs, benefits, tradeoffs, etc, of product decisions.
o	Knows the skillset of members on the team and coordinates work to achieve maximum output.
o	Preferred 2 years in the Travel Industry.
o	Minimum of 5 years SQL Development business experience with Agile Development methodologies.
o	Enforces high technical standards for their products.
o	Ability to discuss, lead and present technical solutions to development teams and Product and Technology management.
o	Able to work with teams/individuals of all levels of technical expertise, business knowledge and global locations.
o	Effective communication skills.
o	Ability to handle multiple projects
o	Expert knowledge of Software Development Life Cycle, Agile Methodology preferred.
EA License no.: 13C6338 I Reg no.: R1110355
Please send your resume in word format with your current and expected salary to yvonnet@charterhouse.com.sg","•
IT/ Computers - Hardware
•
IT/ Computers - Software",IT,"•
Software Engineer/ Programmer
•
Project Management
•
System Analyst/ Tech Architect",,"Responsibilities: Provides technical supervision oversees work staff team. Guides advises stakeholders best practices implementing enhancing system. Work management design high-level system integrations involving in-house development off-the-shelf products. Assess architectural impact product enhancements overall system make recommendations management. • The Software Engineering Manager responsible leading support development team focused back office software environment. This complex environment requiring interaction multiple teams across company: Traveler Services, Program Managers, Client-facing teams technology teams. • Our goal standardize Travcom environment across regions, significant part role include process automation improvement. • The role also include development automated services allow greater efficiencies across support teams. • Represents project deliverables team • Identifies resources needed future projects • Performs fundamental managerial duties software team including hiring decision, performance feedback workforce development • learn Develop skillset mentor team. Begin engage experienced leaders navigate challenging technical business situations. • Identifies recommends project activities related system direction strategy. Establishes best practices procedures/tools, programming standards, etc.deliverables. • Gathers analyzes requirements; develops solutions/programs/reports, implements technology. Provides recommendations strategic planning system growth/future business needs. Manages team enforces standard code repository documentation. Delivers system presentation overview. Collaborates cross-team assets create project timeline assign tasks • Troubleshoots problems involving complex difficult issues. • Meets business analyst/stakeholder determine requirements, gives input prioritization product owners. • Collaborates development best practices standards development teams across organization. • Acts subject matter expert product technical business perspective. • Provides Tier 2/3/4 Production Support tools applications developed. Qualifications Experience & education: • 7+ years relevant experience required. Experience leading technical project initiative helpful. Ability navigate complex technical situations explain costs, benefits, tradeoffs, etc, product decisions. Knows skillset members team coordinates work achieve maximum output. Preferred 2 years Travel Industry. Minimum 5 years SQL Development business experience Agile Development methodologies. Enforces high technical standards products. Ability discuss, lead present technical solutions development teams Product Technology management. Able work teams/individuals levels technical expertise, business knowledge global locations. Effective communication skills. Ability handle multiple projects Expert knowledge Software Development Life Cycle, Agile Methodology preferred. EA License no.: 13C6338 I Reg no.: R1110355 Please send resume word format current expected salary yvonnet@charterhouse.com.sg"
32,1268,Software Engineers (.Net),"ASP.Net
C#
WCF
SQL","Software Engineers (.Net)
Requirements:
Degree in Computer Science or equivalent.
At least 2+ years of experience in Software development.
Experience in .Net C#, WCF, Web Service, and Database Design & SQL Scripting with MS SQL.
Excellent communication and interpersonal skills.
Interested applicants please send your updated resume to
feroz@shellinfotech.com
Please mention you’re present and expected salary, and availability.",IT/ Computers - Software,IT,"•
Software Engineer/ Programmer
•
Other Information Technology","Bachelors
Degree
Diploma
Non Degree Tertiary","Software Engineers (.Net) Requirements: Degree Computer Science equivalent. At least 2+ years experience Software development. Experience .Net C#, WCF, Web Service, Database Design & SQL Scripting MS SQL. Excellent communication interpersonal skills. Interested applicants please send updated resume feroz@shellinfotech.com Please mention you’re present expected salary, availability."
33,1283,Software Engineer - IoT (Internet of Things) - Perm/End-user,"HTML
SDLC
CSS
Spring
Hibernate
Internet
JQuery
Software
Java","Permanent opportunity with leading organization with nearly 8000 staffs in the region.
Chance to be in a well-developed software engineering team with latest updates on technologies.
Attractive compensation package with other permanent benefits.
In this role, you will be responsible for but not limited to:
Involve in full SDLC of
Internet of Things (IoT)
Products.
Build and design on
User Experience
for web applications.
Work with business units to define new ideas, define test cases and review of pull requests.
Participate in new technologies, innovation for new products and improvement of existing products.
Involved and support multiple projects (i.e: Open Source, etc.)
To be successful for the role, you will require to have:
4+ Years of hands-on Full-stack development experience.
Hands-on on modern web technologies:
HTML, CSS, Angular, JQuery, etc
.
Strong hands-on experience on working with
Java (Spring, Hibernate)
as backend.
Strong communication skills to work with the team effectively.
Please send your resume in WORD format by clicking the apply button below or contact Helen Nguyen on +65 6701 1519 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1660747 (Nguyen Ngoc Thanh Hien).",Recruitment/Staffing/RPO,IT,Software Engineer/ Programmer,,"Permanent opportunity leading organization nearly 8000 staffs region. Chance well-developed software engineering team latest updates technologies. Attractive compensation package permanent benefits. In role, responsible limited to: Involve full SDLC Internet Things (IoT) Products. Build design User Experience web applications. Work business units define new ideas, define test cases review pull requests. Participate new technologies, innovation new products improvement existing products. Involved support multiple projects (i.e: Open Source, etc.) To successful role, require have: 4+ Years hands-on Full-stack development experience. Hands-on modern web technologies: HTML, CSS, Angular, JQuery, etc . Strong hands-on experience working Java (Spring, Hibernate) backend. Strong communication skills work team effectively. Please send resume WORD format clicking apply button contact Helen Nguyen +65 6701 1519 confidential discussion. Please note short-listed candidates contacted. CEI Reg. Number R1660747 (Nguyen Ngoc Thanh Hien)."
35,1401,Software Engineering Manager,"Java
.Net
C#
C++
Agile
Scrum
Project Management
Software Development
Software Development Life Cycle
SDLC","Job Summary:
The Software Engineering Manager (SwEM) ensures Software Engineering activity management within constraints provided by the Systems Engineering Manager (SEM), Project Manager, the Architect and the Project Design Authority.
Defines the Sw development cycle in consistency with that of upper/same level elements (dependences, co-engineering activities).
Tailors the Sw Engineering Environment (process, practices and tools) according to Country/Company and project’s requirements.
Allocates responsibilities to individual contributors.
Participates in the specification of the functions and interfaces of products to be developed.
Participates in the definition of the architecture, and the allocation of functions
Responsibilities:
The Software Engineering Manager is also a team manager and responsible for leading his team to the completion of engineering tasks:
Within committed budgets, schedules, performance, and quality for project delivery, through well-executed Work Package Management.
Defines the Software Development strategy for the concerned appropriate level (solution or solution element), and records & maintains it in the Software Development Plan.
In the case where Agile development methods are implemented, be in-charge of the complete organisation of the Agile development process, including the choice of the roles, practices and tools necessary
Tailors the software development environment (process, practices and tools) according to Country/Company requirements and the chosen software development strategy
In the Orient Phase, the SwEM and his/her team:
	Ensure that he and his team understand the Context and Needs of the Software
	Develop the Software Architecture
	Build the Development Strategy
	Conduct the Solution Orientation Review (SOR) for the Software
In the Design Phase, the SwEM and his/her team:
	Formalise the Software Requirements
	Design the Software
	Conduct the Software Requirement Review (SwRR) and the Software Architecture and Design Review (SwADR)
In the Development Phase, the SwEM and his/her team:
	Consolidate the Software Definition
	Implement the software (Conduct the Software Component Readiness Review (SwCRR)
In the Integrate and Verify Phase, the SwEM and his/her team:
	Prepare Integration and Verification (Sw)
	Perform Integration (SW)
	Perform Verification (SW)
	Conduct the Software Iteration/ Increment Release Review (SwIRR)(Support the solution IVVQ activities (Sw)
Ensures that all Configuration and Change Management (CM) processes are properly followed by the Software Development team.
Finally, The SwEM is also the Workpackage Manager (WPM) for the Software of the project:
Manages and coordinates internal teams performing a work package.
Liaises with the Project Manager and his/her Head of Discipline for all aspects relating to his/her work package.
Conducts all work package activities (including those relating to risks and opportunities) to reach completion of the project regarding its technical, industrial, and financial objectives
Performs this role from authorisation to start until closure of the work package for all aspects of the work package
Ensure that the supplier project is monitored and controlled in terms of schedule and milestone adherence, risk management, quality of deliveries, etc., to ensure delivery to meet the sub-contract requirements.
Qualifications:
Bachelor level qualifications in a relevant area of science or engineering.
Higher degree qualifications are desirable.
PMP/PMI or equivalent qualifications are desirable
Demonstrated engineering competencies required for qualification to INCOSE CSEP (or equivalent) are highly desirable
Requirements:
Minimum of 5 years’ experience of technical software management within a relevant domain.
Minimum of 5 years’ experience of management of an software development team
Minimum of 10 years’ experience of software development within a relevant domain.
Minimum 3 years of experience of development in an Agile Environment
Experience in setting up and running a successful Agile team on a medium+ and duration project
Software Development Management Experience on Medium to Large Software Projects
Membership of relevant professional organisation, e.g. INCOSE, Institution of Engineers Singapore, etc.
Experience in the following software development areas:
	Software development (Java is a must, C# and C++ appreciated)
	System integration (ZeroMQ, JSON, KAFKA, distributed file systems, Logstash), Sensor integration (Iot)
	Operative systems (Linux & Window)
	SQL and non SQL Databases (MySQL, Elastic Search, Mongo DB)
	Network configuration and architecture (TCP/IP)
	Virtualization platforms (Virtual Machines, Docker, etc.)
	Complex Event Processing (CEP), and Time series database (TSDB)
	Web application / server and client side AngularJS, JQuery.
Desirable Experience:
Experience in the software development management of Security Systems
Experience of various roles in Agile Development (Scrum master, Product Ower, Developper, etc.)
Experience in Lean Engineering",IT/ Computers - Software,IT,"•
Software Engineer/ Programmer
•
Project Management
•
System Analyst/ Tech Architect
•
Testing","Bachelors
Degree","Job Summary: The Software Engineering Manager (SwEM) ensures Software Engineering activity management within constraints provided Systems Engineering Manager (SEM), Project Manager, Architect Project Design Authority. Defines Sw development cycle consistency upper/same level elements (dependences, co-engineering activities). Tailors Sw Engineering Environment (process, practices tools) according Country/Company project’s requirements. Allocates responsibilities individual contributors. Participates specification functions interfaces products developed. Participates definition architecture, allocation functions Responsibilities: The Software Engineering Manager also team manager responsible leading team completion engineering tasks: Within committed budgets, schedules, performance, quality project delivery, well-executed Work Package Management. Defines Software Development strategy concerned appropriate level (solution solution element), records & maintains Software Development Plan. In case Agile development methods implemented, in-charge complete organisation Agile development process, including choice roles, practices tools necessary Tailors software development environment (process, practices tools) according Country/Company requirements chosen software development strategy In Orient Phase, SwEM his/her team:  Ensure team understand Context Needs Software  Develop Software Architecture  Build Development Strategy  Conduct Solution Orientation Review (SOR) Software In Design Phase, SwEM his/her team:  Formalise Software Requirements  Design Software  Conduct Software Requirement Review (SwRR) Software Architecture Design Review (SwADR) In Development Phase, SwEM his/her team:  Consolidate Software Definition  Implement software (Conduct Software Component Readiness Review (SwCRR) In Integrate Verify Phase, SwEM his/her team:  Prepare Integration Verification (Sw)  Perform Integration (SW)  Perform Verification (SW)  Conduct Software Iteration/ Increment Release Review (SwIRR)(Support solution IVVQ activities (Sw) Ensures Configuration Change Management (CM) processes properly followed Software Development team. Finally, The SwEM also Workpackage Manager (WPM) Software project: Manages coordinates internal teams performing work package. Liaises Project Manager his/her Head Discipline aspects relating his/her work package. Conducts work package activities (including relating risks opportunities) reach completion project regarding technical, industrial, financial objectives Performs role authorisation start closure work package aspects work package Ensure supplier project monitored controlled terms schedule milestone adherence, risk management, quality deliveries, etc., ensure delivery meet sub-contract requirements. Qualifications: Bachelor level qualifications relevant area science engineering. Higher degree qualifications desirable. PMP/PMI equivalent qualifications desirable Demonstrated engineering competencies required qualification INCOSE CSEP (or equivalent) highly desirable Requirements: Minimum 5 years’ experience technical software management within relevant domain. Minimum 5 years’ experience management software development team Minimum 10 years’ experience software development within relevant domain. Minimum 3 years experience development Agile Environment Experience setting running successful Agile team medium+ duration project Software Development Management Experience Medium Large Software Projects Membership relevant professional organisation, e.g. INCOSE, Institution Engineers Singapore, etc. Experience following software development areas:  Software development (Java must, C# C++ appreciated)  System integration (ZeroMQ, JSON, KAFKA, distributed file systems, Logstash), Sensor integration (Iot)  Operative systems (Linux & Window)  SQL non SQL Databases (MySQL, Elastic Search, Mongo DB)  Network configuration architecture (TCP/IP)  Virtualization platforms (Virtual Machines, Docker, etc.)  Complex Event Processing (CEP), Time series database (TSDB)  Web application / server client side AngularJS, JQuery. Desirable Experience: Experience software development management Security Systems Experience various roles Agile Development (Scrum master, Product Ower, Developper, etc.) Experience Lean Engineering"
