,job_title,skill,job_desc,Industry,Function,Role,Education
1101,Application Support Analyst (No experience required/Banking industry),"Java
UNIX Shell Script
Sun Solaris","Core technical competency required:
•	Sun Solaris; Unix Shell Scripting
•	SQL, preferably in MariaDB & Oracle
•	Java/Web-based programming
Good to have experience:
•	Java8 and AngularJS
•	ActiveMQ/Apache Camel
•	OpenShift/Docker
•	Microservices concept
Experience in application implementation projects in financial institutions would be advantageous.
Strong analytical and problem solving skills.
Ability to perform impact analysis in a structured manner.
Good verbal & written communication skills.
Proactive and able to work independently and under pressure.
With a keen interest in providing high service quality and familiar with the demand of a 24x7 support environment.",Banking/ Financial Services,IT,Software Engineer/ Programmer,"Bachelors
Degree"
1172,"Senior Associate/Associate, Channel Management Manager, Cards & Unsecured Loans, Consumer Banking...","Senior Associate/Associate
Channel Management Manager
Cards & Unsecured Loans
Consumer Banking...","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Plan and implement Unsecured Loans acquisition programs and strategies to grow new sales, contributing to portfolio and business revenue growth.
Drive acquisition channels to support the marketing of our Unsecured Loans product.
Develop innovative strategies to supplement the digital experience of Unsecured Loans acquisition.
Supports development and implementation of channel wide performance tracking program and provides recommendations to various stakeholders.
To track revenue generation and benefit realization, optimizing acquisition campaigns with favorable ROI and conversion rates
Develop and implement customer centric services/products by understanding market dynamics, customer segmentation and mapping competitive matrix
Coordinate with internal and external stakeholders to ensure smooth and timely delivery of initiatives and integrated marketing programs
Oversee operational process to ensure that all marketing programs comply with corporate guidelines and service quality standards.
Requirements
Bachelor Degree with a minimum of 6 years’ experience in product acquisition and channel management
Deep insight of Credit Card and Unsecured Lending business
Self-motivated and confident with a high degree of initiative required
Excellent team player and exhibit a high level of motivation and drive
Strong analytical and problem-solving skills
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1187,"Senior Associate, PayLah Business Support Manager, Cards & Unsecured Loans, Consumer Banking Group","Senior Associate
PayLah! Business Support Manager
Cards & Unsecured Loans
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Responsible for PayLah! product business that cuts across customer experience, compliance, risk management, regulatory, and operations management
Continuous review of regulations for MAS, compliance, risk, AML, Fraud, and other digital wallet requirements
Hands-on experience managing multiple stakeholders that cut across product, partners, technical, operations, regulatory and compliance teams that touches various technical platforms and able to deliver to deadlines
Proven ability to build strong relationship across stakeholder groups with the ability to effectively influence and communicate across various business lines and units and at senior levels within the organisation
Define and develop improvement opportunities across customer experience, product acquisition and sales targets
Extensive experience with the range of product development and deployment activities including identifying opportunities, product discovery, engaging a wide range of functional experts to agree deployment approach, execution, launch, and post launch performance measurement and management
An entrepreneurial drive, with the ability to deconstruct and solve problems, to investigate drivers and figure out why things happen
Refine customer experience for new capabilities in partnership with marketing, channels, partners, and other key stakeholders
Requirements
University Degree, preferably majored in Banking, Business Management and Finance with a minimum of 5 years of working experience in the banking or digital business
Demonstrates flexibly when addressing shifting or competing priorities
Proven ability to influence large teams without direct leadership authority
Strong understanding of Digital business, while experience with travel, lifestyle, and, or other consumer product development is an advantage
Financial services and unsecured lending experience an advantage
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1192,"Vice President, Business Development Manager Trainer, Financial Planning Group, Consumer Banking ...","Vice President
Business Development Manager Trainer
Financial Planning Group
Consumer Banking ...","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Develop and conceptualize financial planning training contents & programs for new/existing hires
Identify, evaluate & determine training gaps/effectiveness by analyzing strategic plans including franchise performances
Construct, design & localize digital training programs to meet respective segment needs
Transform & lead digital e-training to retail & wealth platform
Design self-learning instructional materials and evaluation measures
Identify and implemented programs that involve potential market opportunities & segment development including product penetration
Requirements
A Bachelor Degree with a minimum of 7 years' experience in the financial services industry, preferably with a good track record in sales and sales management
Preferably with UX design experience & content management
Self-driven and a self-starter and be able to operate independently with minimal supervision
Possess results-driven capability to work with business, support units & the bank’s external partners
Strong Interpersonal and influencing skills
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1195,"Associate/Analyst, Consumer Brand Marketing Manager, Consumer Banking Group","Associate/Analyst
Consumer Brand Marketing Manager
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Build deep and meaningful relationships with the communities to drive business objectives.
Delight existing consumers while attracting new prospects through innovative touchpoints, contextual marketing and advocacy campaigns. This includes managing brand and outreach events and programmes, and activations through partnership and sponsorships.
Develop strategies and campaigns for branch and franchise communications.
Analyse data and insights from communities, 1st 2nd & 3rd party datasets, to further expand the user base and drive lead generation, build segment knowledge and expertise, and identify opportunities to connect with our audiences.
Optimise the community strategy on an on-going basis, including researching and launching new social media channels and initiatives.
Requirements
Bachelor Degree with 2-5 years’ experience in building strategic and creative consumer marketing campaigns, preferably with a background in community management or worked at a top innovative brand, advertising or media agency with an emphasis on Content Marketing or Social Media.
A marketer and inner data scientis
Be deeply embedded and relentlessly curious to the digital space from gaming, mobile, social networking and everything in-between.
A fast learner who is able to thrive in a fast-paced and collaborative environment and demonstrate strong judgment and a solution-driven mindset.
Thought-leader with a fascination in brand-building and delivering business results.
Ability to multi-task, but with clear time management and prioritization skills. Experience in agile marketing is ideal.
A mastery of verbal and written communication as well as presentation skills, a strong sense of EQ and empathy towards other, and an editorial perspective on building a brand’s social presence with an accessible tone of voice.
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1196,Hiring Project Admin for one of our Banking domain cilent,"pmo support
PMO
project support
project Admin
project coordinator","• Minimum 5 years of Project Support experience, preferably in Banking/financial
industry.
• Advance knowledge of MS Word, Excel, PowerPoint and SharePoint. Knowledge
of MS Project will be an added advantage.
• Able to organise complex travel arrangements.
• Able to organise/schedule meetings in a timely manner.
• Have the ability to take detailed project meeting minutes for audit trail.
Able to handle high degree stress and meet tight deadlines as required.",(Candidates authorized to work in the above mention countries are also eligible to apply),Banking/ Financial Services,IT,
1209,"Associate/Analyst, Marketing Budget Manager, Consumer Banking Group","Associate/Analyst
Marketing Budget Manager
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Assist in the daily operations and management of the Marketing Budget to ensure that all Advertising & Promotions (A&P) spends are within the allocated budget.  This role also entails ensuring that all business users are compliant with the established A&P management process.
Perform A&P spend forecasting, monthly A&P accruals and spend variance analysis
Provide A&P spend updates and analysis for multiple stakeholders
Perform A&P budget review to ensure effective spend
Perform monthly cost reconciliation to ensure all expenses are recorded and that overall expense are within budget
Perform proper processing and timely issuance of Purchase Order and Payment Advice to facilitate payment, and ensure that day-to-day transactions are audit compliant
Manage ‘Accounts Payable’ account for A&P spend.  Follow up with vendors on outstanding Purchase Orders, and ensure that there are no long outstanding invoices.
Manage the Integrated Marketing Operation System (IMO) - i.e. user access, budget set up, budget spend/tracking, system fixes and testing etc
Assist in answering budget/ payment/ IMO system related queries from business units and vendors
Requirements
Bachelor Degree with at least 2 years’ working experience managing budget or finance-related role
Meticulous and analytical, with a knack for handling financial data
Good Microsoft Office application skills, especially Excel and PowerPoint
Able to work independently, self-motivated and responsible
Strong team player with good organizational and interpersonal skills
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1215,"Vice President, Consumer Brand Marketing Team Lead, Consumer Banking Group","Vice President
Consumer Brand Marketing Team Lead
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Dynamic marketer, with strong understanding of how to build a brand in a digital age. Lead a team of young and energetic marketing team for the Consumer Banking Group Native understanding of digital with an emphasis on mobile, social, video and display and have prior experience with brand building
Possess a proven track record of building a brand and strong customer advocacy, to support customer acquisition, usage and engagement. Has deep knowledge in running a 360-campaign, from strategy development to tactical execution of camapigns, events and sponsorships.
Build and manage consumer brand related activities that attracts our key customer segment through a combination of owned, paid and earned media.
Appreciates marketing technology and collaborate with our product team to integrate our campaigns within the end to end consumer experience
Work closely with performance marketing team to drive customer conversions and engagement.
Establish closed-loop analytics with sales to understand the impact of marketing activities
Requirements
Bachelor Degree with 8 years’ experience in building strategic and creative consumer marketing campaigns, preferably with a background in community management or worked at a top innovative brand, advertising or media agency with an emphasis on Content Marketing or Social Media.
Is an effective collaborator in a fast paced environment and able to run multiple campaigns at the same time.
Is a cross-functional leader who is able to engage, listen and collaborate with internal departments/teams to align early on in terms of overall strategy and goals, and to see the cross-functional collaboration through implementation.
Self-motivated and confident with a high degree of initiative required
Excellent team player and exhibit a high level of motivation and drive
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1219,"AVP, Unit Trust Product Manager, Financial Planning Group, Consumer Banking Group","AVP
Unit Trust Product Manager
Financial Planning Group
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
To be the resident expert in Unit Trust products and solutions offered in the in-country consumer banking platform
Meet revenue targets and products P & L on overall and per channel
Support new product, service initiatives and proposition launches on all bank channels – Traditional and Digital
Prepare materials for the sale and recommendation /  distribution  of products; Ensure that the products and materials offered are compliant with internal and external regulatory requirements
Support regular coaching, training and market/product briefings to sales staff to enhance their functional competencies & professionalism, raise the level of proficiency and technical expertise of the RMs, in their course of interacting with customers.
Work in partnership with internal stakeholders to achieve greater penetration of Unit Trust products across Bankers/Clients via close collaborations and other initiatives
Build strong relationships with various fund house partners to come up with best ideas, support sales related activities eg. Client events, product launches, other marketing and branding activities.
To have a keen understanding and full awareness of, and adherence to, in-country regulatory
Requirements
Degree holder with minimum of 5 years experience in product management / financial services
Knowledge of Unit Trusts, banking and investment products & services and procedures
Knowledge of compliance and regulatory requirements as well as exposure to multicultural issues
Trained in asset allocation and financial planning
Good Planning and organizing capability
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1221,"AVP, DBS Home Advice Business Manager, Deposits & Secured Lending, Consumer Banking Group","AVP
DBS Home Advice Business Manager
Deposits & Secured Lending
Consumer Banking Group","Business Function
We deliver a comprehensive suite of innovative banking services and financial solutions to individuals, ranging from the man-in-the-street to the mass affluent. Providing sound wealth management and financial advisory services, we help our customers make informed decisions about their money and are committed to helping them plan and achieve their life goals. Products and services within the Consumer Banking Group include loans, credit cards, investment and unit trusts, insurance and priority banking.
Responsibilities
Execute programs, business strategies, business plans and marketing activities to increase lending customer base
To promote and raise awareness of Home Advice Specialist platform to various business channels
Manage individual Home Advice Specialist sales and team target set by Business Unit
Ability to train and coach HAS in cross selling other financial products within the bank (set by BU)
Ability to engage Credit underwriter on complex and High Net worth customer’s loan request
Ensure sound control and compliance with legal and regulatory requirements particularly regarding documentation to customer and 3rd parties/business partners
Assist Home Advice Specialist in problem solving and handle customer’s feedback
Perform Supervisory trips to branches and show flats
Ensure smooth customer delivery of seamless Home Advice at various Distribution branches.
Achieve high standard of customer satisfaction and service quality by HAS and oneself
Requirements
Diploma or Degree holder with at least 3 years of sales experience in consumer products and team management
Ability to network and build rapport with external stakeholders (property and insurance agents, corporations, professional bodies and other potential referral agents or brokers) where needed
Strong passion for people development along with good presentation and interpersonal skills at all levels
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1223,"Associate/Analyst, Marketing Budget Manager, Consumer Banking Group","Associate/Analyst
Marketing Budget Manager
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Assist in the daily operations and management of the Marketing Budget to ensure that all Advertising & Promotions (A&P) spends are within the allocated budget.  This role also entails ensuring that all business users are compliant with the established A&P management process.
Perform A&P spend forecasting, monthly A&P accruals and spend variance analysis
Provide A&P spend updates and analysis for multiple stakeholders
Perform A&P budget review to ensure effective spend
Perform monthly cost reconciliation to ensure all expenses are recorded and that overall expense are within budget
Perform proper processing and timely issuance of Purchase Order and Payment Advice to facilitate payment, and ensure that day-to-day transactions are audit compliant
Manage ‘Accounts Payable’ account for A&P spend.  Follow up with vendors on outstanding Purchase Orders, and ensure that there are no long outstanding invoices.
Manage the Integrated Marketing Operation System (IMO) - i.e. user access, budget set up, budget spend/tracking, system fixes and testing etc
Assist in answering budget/ payment/ IMO system related queries from business units and vendors
Requirements
Bachelor Degree with at least 2 years’ working experience managing budget or finance-related role
Meticulous and analytical, with a knack for handling financial data
Good Microsoft Office application skills, especially Excel and PowerPoint
Able to work independently, self-motivated and responsible
Strong team player with good organizational and interpersonal skills
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1230,"Associate / Analyst, Digital Payments Product Management, Cards & Unsecured Loans, Consumer Banki...","Associate / Analyst
Digital Payments Product Management
Cards & Unsecured Loans
Consumer Banki...","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Key member of the Payments SQUAD driving unique customer journeys that drives cashless
Engage with key stakeholders internal stakeholders mainly eBIZ, BA, technology, marketing, Finance, CUL, T&O, legal & external partners (NETS and key merchants) to drive mutual shareholder customer & cashless goals for PayLah! and the broader bank
Drive usage and acquisition initiatives that drives the adoption of digital payments
Create meaningful analysis goals (ongoing) that drives the broader payback of Paylah! to the banks customers satisfaction and strategic goals
Assess global and regional developments in payments and ensure PayLah! maintains it’s leadership position in cashless payments
Requirements
University Degree, preferably majored in Banking, Business Management and Finance with a minimum of 2 years of working experience in the banking or digital business
Demonstrates flexibly when addressing shifting or competing priorities
Proven ability to influence large teams without direct leadership authority
Strong understanding of Digital business, while experience with travel, lifestyle, and, or other consumer product development is an advantage
Financial services and unsecured lending experience an advantage
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1233,"AVP, Business Development Manager, Financial Planning Group, Consumer Banking Group","AVP
Business Development Manager
Financial Planning Group
Consumer Banking Group","Business Function
As the leading bank in Asia, DBS Consumer Banking Group is in a unique position to help our customers realise their dreams and ambitions. As a market leader in the consumer banking business, DBS has a full spectrum of products and services, including deposits, investments, insurance, mortgages, credit cards and personal loans, to help our customers realise their dreams and aspirations at every life stage. Our financial solutions are not only the best in the business – they were made just right for you.
Responsibilities
Responsible for business development & coaching/supervision of sales/service representative to achieve both sales & general insurance volume of the bank.
Ensure the sales representative fulfill the required regulatory practice, FAA & compliance standards in financial planning & sales processes for insurance.
Execute CBG Bancassurance strategic plan to meet the overall business objectives
Involved in any projects & initiatives assigned by supervisor.
Upskill the capabilities & competency level of all sales representative in relation to Bancassurance.
Requirements
Bachelor Degree in related field with preferably 5 years of banking experience & 2 - 3 years in a supervisory capacity
Ability to guide individual towards achieving the team’s goals
Good interpersonal and communication skills
Good sense & oversight on risk awareness
Ownership of results and commitment to personal goals
Knowledge of banking operations and proficiency in presentations to an audience
Proficiency in MS Office
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1240,"Wealth Planning Manager (Branch/Non-Branch), Consumer Banking Group","Wealth Planning Manager (Branch/Non-Branch)
Consumer Banking Group","Help us delight our branch customers
DBS Consumer Banking Group offers a comprehensive suite of innovative banking services and financial solutions to individuals, ranging from the man-in-the-street to the mass affluent. Providing sound wealth management and financial advisory services, we help our customers make informed decisions about their money in order to achieve their life goals. Our products and services include loans, credit cards, investment and unit trusts, insurance, and priority banking.
As a
Wealth Planning Manager
with Asia’s best bank, you will be part of our award-winning team based in either a Branch or Non-Branch team to provide a personalized banking experience for our customers.
Fulfilling and varied, a typical workday might look like this:
Provide financial advice to clients through offering wealth management solutions, such as insurance, structured deposits, loans and unit trusts
Play an active part in planning campaigns across the bank or within the branch
Develop and strengthen long-term relationships with clients
If based in a Non-Branch environment, you will be assigned to a centralized office where focus will be on tele-prospecting
You will also be actively involved in seminars, events and sales campaign
We want driven, service-oriented individuals like you with:
A degree in any discipline
A willingness to work on a flexible schedule that includes weekends
A passion for banking and wealth management
What we offer
You can expect a competitive salary, a benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements. Find out more
here.
Ready to apply? Take the next step.
Click on the link below to apply and receive an email notification from our AI Chatbot, JIM within 2 hours
Interact and complete the mandatory assessments on JIM
You will be invited for a face-to-face interview with our Branch Manager and HR if you are shortlisted",Banking/ Financial Services,"Banking, Insurance & Financial Services",Relationship manager,
1251,"Wealth Planning Manager (Insurance Specialist) (Branch/Non-Branch), Consumer Banking Group","Wealth Planning Manager (Insurance Specialist) (Branch/Non-Branch)
Consumer Banking Group","Help our customers achieve their ambitions
DBS Consumer Banking Group plays a vital role in understanding and meeting customer
needs by offering the right products and services, from investments to insurance, to the right
customer segments. We help our customers realise their dreams at every life stage by helping
them grow and maintain the integrity of their portfolios.
As a
Wealth Planning Manager (Insurance Specialist)
with Asia’s best bank, you will help to shape our customers’ aspirations, by fulfilling their insurance needs with diverse and innovative financial solutions. You will be posted to either a Branch or Non-Branch team, where you need to build strong relationships with customers and customise their financial plans based on their needs.
Fast paced and challenging, your workday might look like this:
•    Provide one-stop financial advisory solutions at the bank branches through insurance services and products, such as retirement planning, savings and financial protection
•    Conduct regular financial planning interviews with existing and potential customers to assess their banking needs
•    Be actively involved in bank-wide campaigns and branch initiatives
•    If based in a Non-Branch environment, you will be assigned to a centralized office where focus will be on tele-prospecting
We want fast learners like you who:
•    Have a degree in any discipline
•    Are comfortable with flexible working schedule that includes weekends
•    Have a strong passion for banking and wealth management
What we offer
You can expect a competitive salary, a wide-ranging incentive, rewards and benefits package and rigorous training programmes will also be offered. Find out more
here
.
Ready to apply? Take the next step.
Click on the link below to apply and receive an email notification from our AI Chatbot, JIM within 2 hours
Interact and complete the mandatory assessments on JIM
You will be invited for a face-to-face interview with our Branch Manager and HR if you are shortlisted",Banking/ Financial Services,"Banking, Insurance & Financial Services",Relationship manager,
1256,Relationship Manager ( SME B2B Segment- Banking Services/Listed MNC),University degree with min 2 to 3 years of relevant experience in sales within the SME Banking space.,"As part of the SME B2B Banking Services Segment
,
the successful candidate will be tasked with the following;
Develop and expand SME/ Commercial clientele base
Provide consulting services to SMEs to create awareness of up-to-date SME financial services/facilities and products.
To also be the first touchpoint for both existing potential customers
Management & Monitoring of existing customer transactions to identify opportunities to increase active client activity.
Ensure compliance with relevant government agencies.",Banking/ Financial Services,Sales/ Business Development,Corporate Sales,"Bachelors
Degree
Diploma
Non Degree Tertiary"
1262,"VP, Product Due Diligence, Product Development, and Training, Regional COO, Private Banking, Cons...","VP
Product Due Diligence
Product Development
and Training
Regional COO
Private Banking
Cons...","Business Function
DBS’ Private Banking offers a one-stop, full-service touch-point for total banking requirements and provides the highest level of personalised banking. We have a team of dedicated, experienced investment advisors who identify opportunities in the various asset classes and employ the best strategies and product vehicles to cater to each client’s needs. Coupled with partnerships within the DBS network and with global institutions, we strive to build long-term relationships with our Private Banking clients in Asia by providing them with high quality, timely and extensive wealth management, investment and financial solutions.
Responsibilities
Performs due diligence on investment and insurance products to be offered by CBG / Wealth.
Supports Wealth SG product teams in the development of new investment product platforms, and on-going maintenance of existing investment product platforms.
Supports development of new investment products to be offered by Wealth business.
Develops training curriculum for staff in Wealth business.
Ensures that investment and insurance products to be offered by Regional CBG / Wealth have been subjected to adequate due diligence in compliance with applicable regulations and policies, and offered to the appropriate customers.
New investment platforms for Wealth SG are launched with appropriate risk controls and processes.
Participates in development of bank-wide Product Risk Rating methodology, and administers the methodology to new and existing products.
Participates in development of bank-wide Product Risk Rating (""PRR"") methodology.
Investment products are accurately and appropriately risk-rated as per prescribed Product Risk Rating methodology.
Requirements
More than 8 years’ experience in investment products
Strong communicator
Drive to complete tasks within stipulated timeline
Takes initiatives to propose process improvement
Knowledge of Risk Management principles
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1264,"VP/AVP, Digital Product Delivery (Regional), Consumer Banking Group","VP/AVP
Digital Product Delivery (Regional)
Consumer Banking Group","Business Function
Digital revolutions are set to change the way we live, work and play. That’s why we’ve spared no effort in ensuring we are at the forefront of this new generation.  Our new digital banking initiative will focus on creating innovative products and services to integrate banking into our customers' digital lifestyle.
Responsibilities
Regional Consumer and Wealth Banking Projects and enhancements for Singapore, Hong Kong, Taiwan, India, Indonesia and China.
Working closely with Regional and country business and products teams, the candidate is responsible for writing Business Requirement document / user story.
Working closely with design team to conceptualize the flow, customer journey and design of screens
Reviews the Functional Specifications / Narrative with Technology counterparts to ensure that these specifications are designed in accordance to business requirements
Supervising a team of test engineers, he or she ensures that UAT test plans and test cases are executed end-to-end within the stipulated UAT schedule.
To collaborate with other Business Units and IT partners in identifying enhancements and to ensure the end-to-end system & process delivery and testing.
Ensure the smooth operational roll-out of Consumer and Wealth Banking services via channels such as digibank / Internet Banking to clients
Support post-implementation tasks such as user training to touch-points, production problem investigation, escalation and resolution
Self-starter with strong business acumen, independent and able to rise to challenges and meet deadlines effectively
Ensure customer issues are resolved within the SLA and prompt follow-up to ensure closure in issues
Requirements
Degree holder with 7 years relevant experience, preferably in Consumer Banking and/or mobile / Internet Banking with strong business acumen an advantage.
Strong IT background preferably with experience in implementing system projects. Experienced in areas of Consumer and Wealth Banking products, mobile payments, x-border payment, process improvement and the operational aspect on international payment processes and operations.
Excellent interpersonal and communication skills with a positive working attitude. Language proficiency on Mandarin will be good.
Ability to work and cope under pressure with accuracy and commitment.
A good team player who is able to work well with product specialist, operational teams and technical teams.
Good presentation skills and articulate well on senior management meeting.
Meticulous and systematic with an eye for detail.
Possess the ability to prioritize and categorize requirements or issues to ensure that effective delivery of projects or enhancements
Lead and challenge the status quo on project delivery and product development life cycle.
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
1277,Hiring Java Developers-for one of our Banking client,"java developer
java development
java
spring
hibernate
banking domain
Payment Gateway
payment","•	Experience with application development with java technologies and Banking domain preferred.
•	Experience with Spring, Hibernate, Web services (Soap/Rest) etc.
•	Experience with Payment Applications.",(Candidates authorized to work in the above mention countries are also eligible to apply),Banking/ Financial Services,IT,
1288,Transaction Banking Sales - Global Transaction Services (GTS),Transaction Banking Sales - Global Transaction Services (GTS),"Business Function
Global Transaction Services (GTS) comprises of Cash & Trade, Securities Services and Fiduciary Services.
In an increasingly borderless world marked by burgeoning trade flow, expertise in trade finance services is an invaluable asset. With cash the lifeblood of every company, so too, is a good understanding of how to manage these cashflows. Trade Finance, together with Cash Management, is the mainstay of GTS, and is extended to SME and corporate clients for their local and cross-border financial transaction needs.
In Cash & Trade, you will be part of the product management team that provides seamless and cost-effective solutions to customers. Whether it is through conducting market research, or by enhancing a product or system's features to meet customers' needs, you will have every opportunity to shape the business. You will also be exposed to a myriad of Trade and Cash Management products through various marketing campaigns and joint visits with our relationship managers.
Responsibilities
Drive cash, documentary trade and open account trade/supply chain business for defined portfolio of clients within industry sector(s) or business segment(s) to deliver the revenue targets to meet the overall GTS business objectives;
Work with the relationship coverage and GTS client management teams to account plan both strategic and tactical approaches to target prospective clients and to increase/ defend the GTS wallet share of assigned clients;
Continuously engage the coverage and client management teams to regularly review the account plans arising from clients’ evolving business requirements;
Collaborate with regional sales managers across the GTS franchise to provide in-country advisory and support for regional account acquisition;
Lead/ participate in the development of responses to GTS RFIs and RFPs (depending on assigned role in the GTS client relationship);
Continuously engage clients to keep abreast of their evolving business priorities, as well as their working capital and treasury management practices to proactively position GTS capabilities to these changes;
Stay updated on the industry/ sector, competitive and regulatory landscapes to enable proactive advisory/ engagement with clients;
Support bank-wide initiatives/ events as well as initiatives/ events across the GTS franchise;
Participate in DBS Customer Journeys and drive digital engagement across GTS franchise to support clients’ digital agendas;
Actively manage deal pipeline (at least on a weekly basis).
Requirements
Experience in originating cash and/or trade opportunities in a regional role for a minimum of 10 years;
Experience in leading regional RFI/RFP responses for regional business development;
Good rapport-building, networking and communication skills with experience in engaging clients at the regional and/or group decision-maker level;
Experience in journey thinking as a leader/ participant preferred;
Open-minded, inquisitive, and adaptable to business transformation;
Good analytical skills, and strong writing skills;
Good team player;
University Degree education level;
Proficiency in English and Mandarin (any other Asian language is an advantage).
Apply Now
We offer a competitive salary and benefits package and the professional advantages of a dynamic environment that supports your development and recognises your achievements.",Banking/ Financial Services,"Banking, Insurance & Financial Services",Other BFSI,
