,company,job_title,job_desc,Unnamed: 12
254,SearchElect Pte Ltd,Software Engineer,"Please note: Due to the security nature of the client, interested applicants must be Singaporean or PR.
About Our Client
Our client is a specialist Cyber Security Product company with an R&D division formed by a talented group of cyber security experts, who are responsible for delivering cutting-edge projects using innovative active defense methods.
About the Security Engineer
Working
alongside the research team, you will be responsible for developing PoC and transforming research into security products.
Duties will include Software Development, technical design reviews, integration, testing and documentation, in addition to acting as a technical advisor to the research department
It will be an expectation to continuously develop your knowledge in a specific field of cyber security in order to establish yourself as a domain expert
Experience Required:
Complet
e SDLC.
Proficient in a high level programming / scripting language (Java, .Net, C++, python, bash)
Full stack developer from Database to Presentation layer.
Ability to multi-task, as you will be engaged on various projects simultaneously
Relevant Security Certifications would be desirable
Understanding o
f the Network layer concepts.
Bonus:
Experience in a Research or Product Development Environment
A keen knowledge or interest in Cyber Security, with an understanding of the threat landscape (e.g. MitM, Ransomware), attack vectors and active defence
Experienced in Software Security Reviews and Vulnerability Assessment
If you are interested to learn more about the above job role or any other job opportunities, please apply to this job advertisement or alternatively contact the following consultant:
Daryl Thong
+65 6589 8787
daryl@searchelect.com
SearchElect Pte. Ltd. adheres to the Singapore Ministry of Manpower Tripartite guidelines on Non-Discriminatory Job Advertisements which you can find more information about HERE. If you feel any part of this job advertisement is discriminatory please immediately raise to our attention via marketing@searchelect.com. We take these matters seriously and thank you for your cooperation.",
367,Volt Service Corporation Pte Ltd,.NET Software Engineer (Web Applications),".NET Software Engineer (Web Applications) – 12-Month Contract – Singapore
The ideal fit will –
Design, develop and test custom built full stack applications.
Participate & provide the relevant support in the entire software development life cycle.
Provide continuous post-implementation support and enhancement based on business needs.
Ensure that technical design, development and deployment are carried out according to Development Standards, Procedures and Security Policies.
Responsibilities
Software development on .Net platform
Transformation project participation
Contribute in Development aspect
Technical Must-Haves
More than 60% of your portfolio are build-from-scratch projects
More than 3 years of experience in .Net platform
C#, .Net framework, windows application development, SQL Server
WCF, Web API, HTML, CSS, JavaScript
Big Plus
Enterprise-level software development experience
WPF, SSRS, SSIS, Angular, CI/CD, PowerShell, mobile applications
Agile, Scrum, TDD
Please send your resume in WORD format by clicking the apply button below or contact Rosette Chong at +65 6701 1513 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1658433 (Chong Xinmei).",
381,Volt Service Corporation Pte Ltd,Senior Java Software Engineer,"Senior Software Engineer (Java) – 2-year contract - Singapore
Be part of a major transformation project.
This transformation is to expand organization’s technology into Java. The ideal fit will have experience as a Full-Stack Developer. Experience in building Java microservices and frontend using Angular, JavaScript, JQuery, HTML and CSS.
It will be advantageous if you have knowledge or experience in test-driven development, CI/CD, deploying Docker containers and operating on Kubernetes. In other words, practicing Devops methodology.
Must-haves:
3 years or more experience on Java platform
Familiar with agile software engineering practice
Java programming, J2EE, Spring, Web API, Angular, HTML, CSS, JavaScript, SQL
Increase your chances with:
Experience working on enterprise-scale projects, or, fully participated in projects from scratch
Scrum, TDD
Docker, Kubernetes, MQ, CI/CD, Bash/Python scripting, iOS/Android mobile app, cloud technologies, authentication, security.
Please send your resume in WORD format by clicking the apply button below or contact Rosette Chong at +65 6701 1513 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1658433 (Chong Xinmei).",
515,Ambition Group Singapore Pte Ltd,Software Engineer,"Job Description :
Our client, a major unicorn in SEA region in mobile technology domain, is expanding aggressively in Singapore. They have been a one-stop application for daily needs in majority regions of APAC, revolutionizing solutions from lifestyle services. They have a 50+ engineering team now and looking to triple the soon. They are hiring all engineering roles across all seniorities now. Though they are hiring intensively, they won't compromise on the caliber and have very high bar for candidates. Interview process is very strict where candidate will be tested not only on fundamental (algorithms, data structures, etc.) but also system and architecture design. Candidate with experience with large scale applications will be highly preferred. Tech-wise, they are mainly doing Go and ReactJS. They are willing to pay decently for the right ones.
Ideal candidates should have below skills and experience:
Solid computer science fundamental (algorithms, data structures, etc.).
Expert in at least one programming language.
Experience in the product-based company will be preferred.
Experience with large-scale applications will be a big plus.
It is a great opportunity to join a reputable international solution company, they offer:
Top notch engineering team
Attractive salary
Flexible culture and flat structure
If you have what it takes, please contact Annie Shi on annie.shi@ambition.com.sg or click APPLY NOW. For more information, please visit www.ambition.com.sg.
Data provided is for recruitment purposes only.
Business License Number: 200611680D. | License Number: 10C5117 | EA Registration Number: R1872781
Regrettably, only shortlisted candidates will be notified.
*LI-IT
Ambition not only recruits on behalf of some exceptional companies but due to unprecedented growth, Ambition is also looking for talented individuals to
join
our fantastic recruitment business. To
apply
for Ambition's current global opportunities
click
.",
618,Success Resource Centre Pte Ltd,Software Engineer @ AMK,"Job Description
Contract or Permanent
Salary: open
HQ located at Ang Mo Kio
Monday to Friday: 8.30am to 6pm
Job Responsibilities:
Responsible for software development, implementation and support of applications, including:
Gather systems requirements from customers (internal and/or external) and ensure users sign-off requirements specification
Involved in design and development stage.
Develop test cases and conduct testing and tune the performance of systems to meet SLA.
Deploy system to production and provide UAT support.
Any other duties as and when assigned.
Defines site objectives by analyzing user requirements, envisioning system features and functionality.
Design and develop user interface by using MS Visual Studio .NET.
Write well designed, testable, efficient code by using best software development practices.
Integrate and test data from various back-end services and databases (SQL).
Able to manage development delivery schedule on time.
Period:
Contract or Permanent
Salary:
open
Location:
HQ located at Ang Mo Kio
Working Hours:
Monday to Friday: 8.30am 6pm
Job Requirements:
Candidate must possess at least a diploma/Bachelors Degree in Computer Engineering, Computer Science, Electrical & Electronics Engineering or related disciplines.
Knowledge in Java/ J2EE/ C++/ .NET is value added
Knowledge of software development methodologies
Must be hands-on and enjoys programming.
Able to work independently and self-motivated.
Good communication and documentation skills.
Strong customer-service oriented and possess Can-Do attitude.
Adequate knowledge of relational database systems, object oriented programming and windows/web application development.
Deep functional knowledge or hands on design experience with windows/Web Services.
Good programming skills in MS Visual Studio .NET (C#.NET) and SQL database (SQL etc.)
Aggressive problem diagnosis and creative problem solving skills
Knowledge in MS Power BI, cloud programming, Java Script will be advantaged.
Ability to work and thrive in a fast-paced environment, learn rapidly and master diverse web technologies and techniques.
Interested applicants, kindly email your detailed resume (MS Word format is preferred):
(Reg No: R1107386)
Zoey -(Reg No: R1550273)
Please ensure that applications sent through email are no bigger than 1Mb.
We thank all applicants for your interest but regret to inform that only shortlisted candidates would be notified.
Success Human Resource Centre Pte Ltd
(EA License Number: 97C4832)
1 Sophia Road, Peace Centre,
#06-23/29 Singapore 228149
T: 6337 3183 | F: 6337 0329 | W: www.successhrc.com.sg",
623,Success Resource Centre Pte Ltd,Software Engineer 1 Year Contract (Electronics Industry) @ Jurong East,"Job Description
Software Engineer 1 year contract @ Jurong East
1 year contract
Mon-Fri: 8:30am-6:00pm
Jurong East
Job Responsibilities
To participate in developing high availability, scalable smart nation / Internet of Things (IoT) platform products
To perform efficient, maintainable, reliable software design, coding, unit testing and integration
To deliver software products with a high level of quality and customer satisfaction
To evaluate / apply state-of-the-art technologies, tools, programming techniques, and computing equipment
Working Hours
Mon-Fri: 8:30am-6:00pm
Location
Jurong East
Job Requirements
Degree in Computer Science, IT, Engineering or equivalent
Minimum 3~5 years of working experience in software development
Complete at least 1 full SDLC cycle in a sizable software system development project
Solid background in OOP and knowledge of software design patterns/ best practices and software development process is essential
Specialized in developing scalable enterprise and web based applications using Java/J2EE, Spring/Hibernate framework
Strong Hands-on experience with Frameworks like NodeJS, Html5, CSS3, JQuery, Bootstrap, AngularJS
Hands-on experience/knowledge on Data modelling, Database/XML interaction & No-SQL technologies like MongoDB, Cassandra
Experience in Micro Service Architecture implementation and web servers & application servers such as Apache, Nginix & Tomcat
Interested applicants, kindly email your detailed resume (MS Word format is preferred):
(Reg No: R1107386)
Zoey -(Reg No: R1550273)
Please ensure that applications sent through email are no bigger than 1Mb.
We thank all applicants for your interest but regret to inform that only shortlisted candidates would be notified.
Success Human Resource Centre Pte Ltd (EA License Number: 97C4832)
1 Sophia Road, Peace Centre,
#06-23/29 Singapore 228149
T: 6337 3183 | F: 6337 0329 | W: www.successhrc.com.sg",
762,Volt Service Corporation Pte Ltd,Embedded Software Engineer - DSP,"Permanent career opportunity with leading organization in the Manufacturing industry.
Chance to work with talented development team on exciting projects/products.
Attractive compensation package with AWS and variable bonus.
Your role:
Develop and implement
embedded
technologies to Smart connected systems.
Responsible for specification, set up, implement and evaluation for new solutions of improvement.
Deliver on required components and documentation of new solutions.
Coordinate with different internal teams to have process run smoothly.
The requirements:
4+ years of
hands-on embedded software development
in the Semiconductor, manufacturing industry with experience on
Microcontrollers
.
Expert in embedded software development in
C-language
(Embedded C, C++, etc.)
Experience in
Digital Signal Processing (DSP)
.
Know-how experience with Microcontrollers and standard peripherals.
Experience with Radar antenna systems is a plus.
Experience with Python, embedded Linux environment is an advantage.
Please send your resume in WORD format by clicking the apply button below or contact Helen Nguyen on +65 6701 1519 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R1660747 (Nguyen Ngoc Thanh Hien).",
801,JJ Consulting Services,Software Engineer (iOS),"Job Description :
**Our Client is a fast growing Product company in Singapore, who is seeking to recruit a Software Engineer (iOS) for their software product.
Software Engineer (iOS)
Responsibilities
Develop and improve our iOS apps with teammates and backend team
Collaborate closely with product and business team to deliver best experiences and features for user
Prototype new features and functionality to validate new concepts, technologies or user experiences
Learn and get better at what you do
Skill & Requirements
Enjoy programming and care about user experiences and software craftsmanship
Strong knowledge of Swift and Objective-C
Familiar with Git and git workflow
Good understanding of stack from UI to back-end, including web services and server-side integration through REST and JSON
Excellent analytical skills and proactive attitude.
Do not afraid to tackle the problem you have not encountered before
Participate in iOS application development at least one app lifecycle (from development to release)
Bachelors Degree in Computer Science or equivalent in the field of software engineering
(Proficient in C and C toolchain, for example, gcc, ld, Makefile, etc. is a plus)
(Github link or real code sample is a plus)
JJ Consulting Services
EA Licence No.: 12C6207
Experience:
ios Development: 2 years (Preferred)
Location:
Singapore (Preferred)",
816,JJ Consulting Services,Senior Software Engineer (iOS),"Job Description :
**Our Client is a fast growing Product company in Singapore, who is seeking to recruit a Senior Software Engineer (iOS) for their software product.
Senior Software Engineer (iOS)
Responsibilities
Design and Develop and improve our iOS apps with teammates and backend team
Take responsibilities of user feature development from design to release
Collaborate closely with product and business team to deliver best experiences and features for user
Deal with complex and challenging technologies stack
Mentor junior software engineer and code review
Be responsible for the code quality in the team
Learn and get better at what you do
Skill & Requirements
Enjoy programming and care about user experiences and software craftsmanship
Strong knowledge of Swift, Objective-C and C (including C toolchain - gcc, ld, Makefile, etc.)
Strong knowledge of iOS platform and familiar with related projects (Cocoapods, Carthage, Alamofire, etc.)
Familiar with Git and git workflow
Good understanding of iOS app architecture and use of design patterns
Good understanding of stack from UI to back-end, including web services and server-side integration (Experience with messaging and voice/video call application development is a plus)
Excellent analytical skills and proactive attitude
Good communication skills
Participate in iOS application development at least a few app lifecycles (from development to release)
Bachelors Degree in Computer Science or equivalent in the field of software engineering
(Github link or real code sample is a plus)
JJ Consulting Services
EA Licence No.: 12C6207
Experience:
ios Development: 3 years (Preferred)",
822,Kelly Services (S) Pte Ltd - SAO,Software Engineer -Java,"At least 2 years of working experience in IT, and 1 years as Java developer for complex web & web mobile applications.
Must have experience in Java, Angular 4 , Restful Web Services, Spring , Hibernate, Oracle DB
Strong software development skills, good understanding of object oriented concepts & design patterns .
Self-motivated with an ability to work in cross platform technologies and to work on more than one project at a time.
Working experience in Rest WebServices, JSON & XML handling
Should be able to lead the team of developer for ongoing and new developer works
Should be able to propose the solution for new project requirement, and able to present the solution to business users and end customers.",
938,Seagate Singapore International Headquarter Pte Ltd,Senior Test Process Software Engineer,"184199 Senior Test Process Software Engineer (Open)
Description
1) Develop Test Process software for drive storage products
2) Providerobust testsoftware solutions to accommodate customers, quality andTestProcess requirements
3) Formulate and develop innovative and radical solutions to optimize Test Process software for yield, test time and efficiency improvement
4)Collaboratewith US design centers to work within a common development framework
Qualifications
1) Master / Bachelor Degree in Computer Science or Electronics / Electrical Engineering
2) Experience in Object Oriented Programming and Python software development under Linux environment is required
3) Experience in the following is a plus : XML, C/C++
4) Knowledge of SATA and SAS interface protocol,Artificial Intelligenceis preferred
5) Independent with strong analytical mind and self motivatedJob Family: Engineering Professional",
995,Seagate Singapore International Headquarter Pte Ltd,Firmware/Software Engineer,"184361 Firmware/Software Engineer (Open)
The Seagate Design Center is seeking a Senior Firmware Engineer to join our team in SSDC. In this position you will:
Analyze, design, and debug data management firmware/software enabling new advanced storage methods and media.
Work with firmware and hardware design teams to develop firmware methods implementing features for leading edge concepts in data storage products.
Debug and ensure data integrity and compatibility of new technologies through compatibility and reliability labs.
Work on significant and unique issues where analysis of situations or data requires evaluation of complex events.
Requirements:
BS / MS / PhD in Computer Engineering, Electrical Engineering with Computer Option (or equivalent), or Computer Science. Electrical Engineering with heavy focus on programming and computer architecture
3 or more years of software/firmware development experience (design, implementation, and debug)
Strong C/C++ programming skills and demonstrated structured programming experience
Expertise at data-analytical skills, preferably using Python or Excel
Demonstrated experience using code development tools (emulators, trace, version control, compilers and linkers)
Experience analyzing software defects, identifying root cause, and implementing corrective action
Preferred Qualifications:
Course work in Data Structure, Computer Architecture, Operating System, and/or Embedded Systems development
Knowledge of data storage systems
Hard Disc Drive experience (HDD)
Software performance analysis and optimization
Job Family: Engineering Professional",
1016,Globesoft Services Pte Ltd,Embedded Software Engineer (Automotive),"Job responsibility:
Develop Software Functionalities for products in vehicles (eg. Body Control Modules, Access System, Network Devices, Seat Control System).
To derive Software Requirement from System Requirement.
To work closely with Software Architect during definition of the architecture and RTE Interface definition
To create detailed design and implementation of software modules in compliance with the requirement, software architecture and planned schedule
To conduct SW Unit and Integration Test with proper test specification.
To have regular coordination and alignment of tasking with Functional Responsible
Job requirements:
Degree in Engineering with more than 2 years of product software development.
Strong knowledge and experience in
Embedded-C
development.
Experience in formal software engineering methodology and Software Development Life Cycle.
Experience in Software Unit Testing and Integration Testing approach
Knowledge in Automotive Communication Bus (
CAN, LIN, Flexray
)
Knowledge in
AUTOSAR
and
Matlab
Modeling Auto code generation, Modeling Validation will be an added advantage.
Familiar with
CMMI, A-SPICE
Able to learn independently and work well under tight development schedules.
Must be able to travel for work attachment and training
Candidates with right experience in embedded software development shall be considered for Senior position
Candidates who possess the skills and experience are highly encouraged to send in their resumes by clicking on the 'APPLY' button or by writing in to godfrey.foo@globesoft.com.sg today!
EA Reg No.: R1107214 | Globesoft Services Pte Ltd | EA License No. 12C6296",
1022,Singapore MIT Alliance for Research and Technology (SMART) Centre,Senior Software Engineer/Software Engineer – Designing Autonomous Mobility On-Demand,"Project Overview
Within the project ""Studying Autonomous Vehicles Policies with Urban Planning in Singapore"", we aim to evaluate the feasibility of autonomous vehicle (AV) policies and investigate their land use and transport implications. The project focuses on the deployment of AVs in both greenfield and infill/brownfield areas in Singapore as well as the development of suitable urban design and AV operation schemes. Part of our research agenda involves the development of SimMobility, a microsimulation platform that integrates and links together various mobility-sensitive behavioral models with state-of-the-art simulators to predict impacts of mobility demands, infrastructure changes, and evolving transportation options on the deployment and delivery of people, firms, services and freight.
Responsibilities
The Future Urban Mobility Interdisciplinary Research Group is seeking a highly motivated Senior Software Engineer/Software Engineer, based at the SMART Centre in Singapore. The job scope includes:
Work with researchers and programmers to turn transport models into working code, including the design, implementation, and testing of the models and code.
Design and implement software systems using object-oriented analysis, design, and programming techniques.
Apply the software to simulate autonomous mobility-on-demand services which includes the configuration of the software, data preparation, data analysis and validation.
Requirements
The candidate should have the following:
Bachelor or Master’s Degree in Computer Science or a related field.
Highly conversant in C++ programming.
2-5 years’ experience in programming large software applications/simulators/game development.
Multi-threaded, parallel/distributing system programming experience.
Skilled in all aspects of software project life cycle: feasibility, requirements, design, implementation, integration, test and deployment.
Demonstrated ability to work independently
Good command of written and spoken English
Candidate with any of the following will have an advantage:
Knowledge on database programming and proficiency in SQL
Knowledge on Python, QT or LUA",
1041,Quinnox Solutions Pte Ltd,Software Engineer -Java,"•	Hands on Design, Development, Deployment & Support of Software products
•	Interact with Product Owners to design and deliver technical solutions to support various business functions
•	Provide thought leadership and lead innovation by exploring, investigating, recommending, benchmarking and implementing tools and frameworks.
•	Work in a Globally Distributed Development team environment to enable successful delivery with a minimal supervision
•	Advocate, document, and follow best design and development practices
Experience:
•	BS/MS CS/SE/EE degree or equivalent with 10+ years of experience in the field of Software Engineering and Development using Java/JEE/JavaScript
•	Minimum 8+ years of strong hands-on development experience with Java (7.0/8.0), JEE and related technologies
•	Minimum 5+ years of experience in building Platforms, Frameworks & API’s.
•	Proficient in at least one of the scripting languages: shell (bash) scripting, Python
•	Knowledge of NO-SQL technologies like Cassandra, MongoDB
•	Knowledge of security standards (NIST) and certifications
•	Excellent understanding of Micro services based architectures, Service oriented design & architecture, Application Integration & Messaging, Security and Web 2.0.
•	Strong understanding of design patterns and best practices in Java/JEE platform including UI, Application & Frameworks development.
•	Extensive hands-on development experience with frameworks and tools including Apache Stack, Web Services.
•	Strong Experience/Knowledge on Data modeling (RDBMS, XSD, JSON), Database/XML interaction, SQL, Stored Procedure and ORM.
•	Must have prior experience in leading Technical deliverables. Must be able to effectively communicate & work with fellow team members and other functional team members to coordinate & meet deliverables.
•	Exceptional communication, organization and presentation skills
•	Good understanding of CI/CD systems and Container based deployments on Docker.
Interested applicants please send us your full resume in MS Word format to job@quinnox-solutions.com Also kindly share your current salary, expected salary and notice period.
EA Personnel :
(R1441433)
Quinnox Solutions Pte. Ltd. (06C3126)",
