id,Job Title,Tokenized_Description,source
3,Physiotherapist,- maintain clear appropriate and accurate documentation of all treatments in a timely manner.,phy
3,Physiotherapist,- ensure a thorough and smooth handover of patients where applicable.,phy
3,Physiotherapist,- ensure that the referring sources are updated appropriately of the patient's progress in a timely manner.,phy
3,Physiotherapist,- participate in the call back service if needed.,phy
3,Physiotherapist,- build and maintain good referral relationship with physicians and other referral sources.,phy
3,Physiotherapist,- treat all information regarding patients as strict confidential.,phy
3,Physiotherapist,- activate cross referral to other rehab disciplines when appropriate in consultation with the referring physician.,phy
3,Physiotherapist,- perform any other duties as maybe assigned from time to time by the respective supervisor.,phy
3,Physiotherapist,qualifications experience diploma or bachelor degree in physiotherapy accredited by ahpc minimum of - years of relevant experience additional information,phy
4,Physiotherapist,assess plan implement monitor and evaluate physiotherapy and related service delivery to residents.,phy
4,Physiotherapist,maintain accurate documentation of therapy service as required by the companys quality procedures and guidelines participate and conduct orientation and in-service education and training programmes and guide supervise daily routine activities of staff under his / her charge as required provide consultation to rehabilitation team members on patient handling or matters regarding musculoskeletal injury perform activities related to the smooth running of department.,phy
4,Physiotherapist,supervise on-the-job training for physiotherapy support staff ensure compliance with workplace sops and standards any other ad-hoc duties assigned by superior requirements- bachelor of physiotherapy min - years of local clinical experience in singapore full registration ahpc-singapore applicant should be a highly motivated team player with good attitude and great interpersonal skills,phy
5,Physiotherapist,responsibilities diagnose assess and treat patients physical problem/condition develop and suggest treatment programme that encourage exercise and movement by the use of a range of technique and equipment educate patients about how to prevent and improve conditions conduct teaching in basic core stability positions work with patients who have a range of conditions any ad-hoc duties assigned requirements degree or diploma in physiotherapy must be fully registered with allied health professions council interested candidates who wish to apply for the advertised position please email us an updated copy of your resume or contact our office at for a confidential discussion.,phy
5,Physiotherapist,we are regret to inform that only shortlisted candidate will be notified.,phy
5,Physiotherapist,job code esl email address healthcare@capitasingapore.com ea license no.,phy
5,Physiotherapist,c,phy
6,Physiotherapist,job purpose the physiotherapist develops and provides the rehabilitative care and services based on the care model to patients of the nursing homes.,phy
6,Physiotherapist,critical accountabilities you will have opportunities to work with other healthcare professionals to design appropriate rehabilitation programmes for the patients of the nursing home.,phy
6,Physiotherapist,you may be involved in developing prevention and treatment programmes with inputs from the patients and may use advanced technology or robotics to relieve pain improve muscle strength joint range and mobility increase exercise tolerance and improve respiratory function.,phy
6,Physiotherapist,you will also provide caregiver education to facilitate patients recovery.,phy
6,Physiotherapist,clinical care assess evaluate and identify rehabilitation needs of patients formulate/develop and implement appropriate individualised physiotherapy programmes to facilitate restore improve or maintain movement/function.,phy
6,Physiotherapist,evaluate monitor and review treatment on a regular basis to document needs and progress of diets and ensure that treatment is appropriate and effective.,phy
6,Physiotherapist,evaluate and prescribe assistive devices to improve function in activities of daily living as required by patients.,phy
6,Physiotherapist,maintain good communication and liaise with various disciplines involved in the rehabilitation process and refer patients to respective professionals for consultation and appropriate intervention.,phy
6,Physiotherapist,training development guide supervise and train physiotherapy students therapy aides caregivers and volunteers on their performance of duties and implementation of programmes to ensure safe and effective treatment of patients.,phy
6,Physiotherapist,provide training for caregivers in preparation for patients' discharge back into the home environment.,phy
6,Physiotherapist,administration maintain database/records of all patients to provide evidence-based treatment with accurate and appropriate documentation.,phy
6,Physiotherapist,ensure that proper documentation is made for all treatment rendered to patients.,phy
6,Physiotherapist,any other duty as assigned by the rehab manager or general manager skills and knowledge educational requirements diploma/ degree in physiotherapy recognised by the singapore allied health professional council.,phy
6,Physiotherapist,requirements/qualities such as personality traits interests or skills required for the job demonstrates good communications and people engagement skills preferably the use of local languages and dialects in order to liaise with the local and dialects language speaking associates.,phy
6,Physiotherapist,good organisation ability ability to form networks and strong linkages with stakeholders.,phy
6,Physiotherapist,years of experience required at least years of experience preferably with experience in rehab services and centers.,phy
6,Physiotherapist,fully registered therapist with the singapore allied health professional council interested candidates are invited to apply online with a comprehensive resume via the apply now button below.,phy
6,Physiotherapist,thank you for applying.,phy
7,Physiotherapist,the role to provide the highest quality of physiotherapy to patients of the hospital.,phy
7,Physiotherapist,key accountabilities - assist the hod / chief physiotherapist in managing the physiotherapy services.,phy
7,Physiotherapist,- evaluate patient as a basis for planning and implementing an appropriate treatment programme.,phy
7,Physiotherapist,- administer therapeutic interventions to alleviate impairment of functional limitations and to maximize optimal recovery.,phy
7,Physiotherapist,- provide patient and family education.,phy
7,Physiotherapist,- initiate discharge planning and recommend appropriate discharge therapy programme.,phy
7,Physiotherapist,- maintain clear appropriate and accurate documentation of all treatments in a timely manner.,phy
7,Physiotherapist,- ensure a thorough and smooth handover of patients where applicable.,phy
7,Physiotherapist,- ensure that the referring sources are updated appropriately of the patient's progress in a timely manner.,phy
7,Physiotherapist,- participate in the call back service if needed.,phy
7,Physiotherapist,- build and maintain good referral relationship with physicians and other referral sources.,phy
7,Physiotherapist,- treat all information regarding patients as strict confidential.,phy
7,Physiotherapist,- activate cross referral to other rehab disciplines when appropriate in consultation with the referring physician.,phy
7,Physiotherapist,- perform any other duties as maybe assigned from time to time by the respective supervisor qualifications experience - diploma or bachelor degree in physiotherapist - accredited by ahpc - min - years of relevant experience additional information,phy
8,Physiotherapist,the role to provide the highest quality of physiotherapy to patients of the hospital.,phy
8,Physiotherapist,key accountabilities - assist the hod / chief physiotherapist in managing the physiotherapy services.,phy
8,Physiotherapist,- evaluate patient as a basis for planning and implementing an appropriate treatment programme.,phy
8,Physiotherapist,- administer therapeutic interventions to alleviate impairment of functional limitations and to maximize optimal recovery.,phy
8,Physiotherapist,- provide patient and family education.,phy
8,Physiotherapist,- initiate discharge planning and recommend appropriate discharge therapy programme.,phy
8,Physiotherapist,- maintain clear appropriate and accurate documentation of all treatments in a timely manner.,phy
8,Physiotherapist,- ensure a thorough and smooth handover of patients where applicable.,phy
8,Physiotherapist,- ensure that the referring sources are updated appropriately of the patient's progress in a timely manner.,phy
8,Physiotherapist,- participate in the call back service if needed.,phy
8,Physiotherapist,- build and maintain good referral relationship with physicians and other referral sources.,phy
8,Physiotherapist,- treat all information regarding patients as strict confidential.,phy
8,Physiotherapist,- activate cross referral to other rehab disciplines when appropriate in consultation with the referring physician.,phy
8,Physiotherapist,- perform any other duties as maybe assigned from time to time by the respective supervisor qualifications experience - diploma or bachelor degree in physiotherapist - accredited by ahpc - min - years of relevant experience additional information,phy
9,Physiotherapist,job purpose the physiotherapist develops and provides the rehabilitative care and services based on the care model to patients of the nursing homes.,phy
9,Physiotherapist,critical accountabilities you will have opportunities to work with other healthcare professionals to design appropriate rehabilitation programmes for the patients of the nursing home.,phy
9,Physiotherapist,you may be involved in developing prevention and treatment programmes with inputs from the patients and may use advanced technology or robotics to relieve pain improve muscle strength joint range and mobility increase exercise tolerance and improve respiratory function.,phy
9,Physiotherapist,you will also provide caregiver education to facilitate patients recovery.,phy
9,Physiotherapist,clinical care assess evaluate and identify rehabilitation needs of patients formulate/develop and implement appropriate individualised physiotherapy programmes to facilitate restore improve or maintain movement/function.,phy
9,Physiotherapist,evaluate monitor and review treatment on a regular basis to document needs and progress of diets and ensure that treatment is appropriate and effective.,phy
9,Physiotherapist,evaluate and prescribe assistive devices to improve function in activities of daily living as required by patients.,phy
9,Physiotherapist,maintain good communication and liaise with various disciplines involved in the rehabilitation process and refer patients to respective professionals for consultation and appropriate intervention.,phy
9,Physiotherapist,training development guide supervise and train physiotherapy students therapy aides caregivers and volunteers on their performance of duties and implementation of programmes to ensure safe and effective treatment of patients.,phy
9,Physiotherapist,provide training for caregivers in preparation for patients' discharge back into the home environment.,phy
9,Physiotherapist,administration maintain database/records of all patients to provide evidence-based treatment with accurate and appropriate documentation.,phy
9,Physiotherapist,ensure that proper documentation is made for all treatment rendered to patients.,phy
9,Physiotherapist,any other duty as assigned by the rehab manager or general manager skills and knowledge educational requirements diploma/ degree in physiotherapy recognised by the singapore allied health professional council.,phy
9,Physiotherapist,requirements/qualities such as personality traits interests or skills required for the job demonstrates good communications and people engagement skills preferably the use of local languages and dialects in order to liaise with the local and dialects language speaking associates.,phy
9,Physiotherapist,good organisation ability ability to form networks and strong linkages with stakeholders.,phy
9,Physiotherapist,years of experience required at least years of experience preferably with experience in rehab services and centers.,phy
9,Physiotherapist,fully registered therapist with the singapore allied health professional council interested candidates are invited to apply online with a comprehensive resume via the apply now button below.,phy
9,Physiotherapist,thank you for applying.,phy
10,Physiotherapist,the role to provide the highest quality of physiotherapy to patients of the hospital.,phy
10,Physiotherapist,key accountabilities - assist the hod / chief physiotherapist in managing the physiotherapy services.,phy
10,Physiotherapist,- evaluate patient as a basis for planning and implementing an appropriate treatment programme.,phy
10,Physiotherapist,- administer therapeutic interventions to alleviate impairment of functional limitations and to maximize optimal recovery.,phy
10,Physiotherapist,- provide patient and family education.,phy
10,Physiotherapist,- initiate discharge planning and recommend appropriate discharge therapy programme.,phy
10,Physiotherapist,- maintain clear appropriate and accurate documentation of all treatments in a timely manner.,phy
10,Physiotherapist,- ensure a thorough and smooth handover of patients where applicable.,phy
10,Physiotherapist,- ensure that the referring sources are updated appropriately of the patient's progress in a timely manner.,phy
10,Physiotherapist,- participate in the call back service if needed.,phy
10,Physiotherapist,- build and maintain good referral relationship with physicians and other referral sources.,phy
10,Physiotherapist,- treat all information regarding patients as strict confidential.,phy
10,Physiotherapist,- activate cross referral to other rehab disciplines when appropriate in consultation with the referring physician.,phy
10,Physiotherapist,- perform any other duties as maybe assigned from time to time by the respective supervisor qualifications experience - diploma or bachelor degree in physiotherapist - accredited by ahpc - min - years of relevant experience additional information,phy
11,Physiotherapist,the role to provide the highest quality of physiotherapy to patients of the hospital.,phy
11,Physiotherapist,key accountabilities - assist the hod / chief physiotherapist in managing the physiotherapy services.,phy
11,Physiotherapist,- evaluate patient as a basis for planning and implementing an appropriate treatment programme.,phy
11,Physiotherapist,- administer therapeutic interventions to alleviate impairment of functional limitations and to maximize optimal recovery.,phy
11,Physiotherapist,- provide patient and family education.,phy
11,Physiotherapist,- initiate discharge planning and recommend appropriate discharge therapy programme.,phy
11,Physiotherapist,- maintain clear appropriate and accurate documentation of all treatments in a timely manner.,phy
11,Physiotherapist,- ensure a thorough and smooth handover of patients where applicable.,phy
11,Physiotherapist,- ensure that the referring sources are updated appropriately of the patient's progress in a timely manner.,phy
11,Physiotherapist,- participate in the call back service if needed.,phy
11,Physiotherapist,- build and maintain good referral relationship with physicians and other referral sources.,phy
11,Physiotherapist,- treat all information regarding patients as strict confidential.,phy
11,Physiotherapist,- activate cross referral to other rehab disciplines when appropriate in consultation with the referring physician.,phy
11,Physiotherapist,- perform any other duties as maybe assigned from time to time by the respective supervisor qualifications experience - diploma or bachelor degree in physiotherapist - accredited by ahpc - min - years of relevant experience additional information,phy
12,Physiotherapist,the role to provide the highest quality of physiotherapy to patients of the hospital.,phy
12,Physiotherapist,key accountabilities assist the hod / chief physiotherapist in managing the physiotherapy services.,phy
12,Physiotherapist,evaluate patient as a basis for planning and implementing an appropriate treatment programme.,phy
12,Physiotherapist,administer therapeutic interventions to alleviate impairment of functional limitations and to maximize optimal recovery.,phy
12,Physiotherapist,provide patient and family education.,phy
12,Physiotherapist,initiate discharge planning and recommend appropriate discharge therapy programme.,phy
12,Physiotherapist,maintain clear appropriate and accurate documentation of all treatments in a timely manner.,phy
12,Physiotherapist,ensure a thorough and smooth handover of patients where applicable.,phy
12,Physiotherapist,ensure that the referring sources are updated appropriately of the patient's progress in a timely manner.,phy
12,Physiotherapist,participate in the call back service if needed.,phy
12,Physiotherapist,build and maintain good referral relationship with physicians and other referral sources.,phy
12,Physiotherapist,treat all information regarding patients as strict confidential.,phy
12,Physiotherapist,activate cross referral to other rehab disciplines when appropriate in consultation with the referring physician.,phy
12,Physiotherapist,perform any other duties as maybe assigned from time to time by the respective supervisor.,phy
12,Physiotherapist,qualifications experience diploma or bachelor degree in physiotherapy accredited by ahpc minimum of - years of relevant experience,phy
13,Physiotherapist,job description plan and run physiotherapy rehab services in the senior care centre [in coordination with the centre manager and occupational therapist].,phy
13,Physiotherapist,conduct assessments for clients during admission and periodic reviews.,phy
13,Physiotherapist,institute an appropriate and effective client therapy treatment.,phy
13,Physiotherapist,participate in multidisciplinary case discussions with the care team.,phy
13,Physiotherapist,contribute to formulation and follow-up of clients individual care plan to ensure holistic health and care coverage.,phy
13,Physiotherapist,plan and conduct group therapy programme and activities for day care clients.,phy
13,Physiotherapist,take care of proper documentation of therapy records.,phy
13,Physiotherapist,understand dementia issues and know how to manage clients who display behavioral problems [associate with onset of dementia] take care of other duties which the centre manager may assign from time to time.,phy
13,Physiotherapist,job requirements and qualifications bachelor degree or diploma in physiotherapy.,phy
13,Physiotherapist,qualified and registered with ahpc minimum years of working experience in a hospital or eldercare institution preference is for a candidate with working experience in a community setting.,phy
13,Physiotherapist,possess a passionate disposition to interact and care for seniors.,phy
13,Physiotherapist,interested candidates are invited to apply online with a comprehensive resume via the apply now button below.,phy
13,Physiotherapist,we apologise that we will only respond to shortlisted candidates.,phy
13,Physiotherapist,thank you for applying.,phy
14,Physiotherapist,you will provide physiotherapy assessment and treatment to our patients with musculoskeletal conditions.,phy
14,Physiotherapist,you will develop and implement care plan to assist patients to manage pain/disability regain or maximize their functional abilities.,phy
14,Physiotherapist,you will also educate patients and their caregivers about condition and care implement coping strategy for patients.,phy
14,Physiotherapist,in addition you will provide guidance to junior staff.,phy
14,Physiotherapist,requirements bachelor's degree or diploma in physiotherapy recognised by the singapore allied health professions council ahpc valid practising certificate from ahpc singapore strong interest in musculoskeletal and sports physiotherapy is required good team player and possess strong interpersonal skills,phy
1,Accountant,benefits working hours monday to friday am-pm working location nearby bedok mrt aws times vb basic salary up to responsibilities handle full set of accounts ap/ar/gl and monthly closing review and reconcile intercompany transactions discrepancies assist in preparation of management reports cost and ap control with b/s analysis preparation of monthly forecast additional information sap knowledge applicants who possess relevant experience for the above responsibilities are most welcome to apply.,acc
1,Accountant,if you do not possess the above experience your application will still be considered on individual merits and you may be contacted for other opportunities.,acc
1,Accountant,please submit your updated resume in ms format by using the apply now button.,acc
1,Accountant,alternatively you can send your resumes to mci@mci.com.sg.,acc
1,Accountant,our dedicated and approachable mci consultants will get back to you soon for a confidential discussion.,acc
1,Accountant,please include the following information in your resume education background work experiences in point forms reason s for leaving current and expected salary date of availability / notice period we regret to inform that only shortlisted candidates would be notified.,acc
1,Accountant,we wish you all the best in your career search.,acc
1,Accountant,lau wei ling natalyn registration number r ea licence no c mci career services pte ltd,acc
2,Accountant,senior accountant months contract location mountbatten job responsibilities assist in month end closing using accpac assist in monthly and quarterly reporting using crystal report and excel assist in forecast and budget process liaise with operation team for issues prepare and update financial modelling excel templates for feasibility studies prepare and update standard operation procedures sops assist in monthly cashflow consolidation job requirements possess at least bachelors degree in finance/accountancy or equivalent at least years of experience in the related field working knowledge of accpac to perform month end closing using accpac working knowledge of excel previous experience in financial modelling is desirable interested applicants kindly send in your resume in microsoft format with photo attached and expected salary to aiden@jobstudio.com.sg jobstudio pte ltd license no.,acc
2,Accountant,c seng yi da aiden registration no.,acc
2,Accountant,r,acc
3,Accountant,handling full functions of finance and accounts leading singapore and regional offices preparation of financial and management reports preparation of short and long term liquidity planning performing month-end closing requirements candidate must possess at least a diploma in accounts/finance at least years of working experience in the accounts/finance field is required regional experience is a must interested candidates who wish to apply for the advertised position please email us an updated copy of your resume attnsans or contact our office at for a confidential discussion.,acc
3,Accountant,we regret that only shortlisted candidates will be notified.,acc
3,Accountant,job code sans email address cap.ta@capitasingapore.com ea license no.,acc
3,Accountant,c,acc
4,Accountant,our client a well-known japanese mnc is currently looking for a accountant assistant position.,acc
4,Accountant,responsibilities full set of accounting ar ap gl providing support to the accounting department.,acc
4,Accountant,performing basic office tasks such as filing data entry answering phones processing the mail etc.,acc
4,Accountant,handling communications with clients and vendors via phone email and in-person.,acc
4,Accountant,processing transactions issuing checks and updating ledgers budgets etc.,acc
4,Accountant,preparing financial reports.,acc
4,Accountant,assisting with audits fact checks and resolving discrepancies.,acc
4,Accountant,assist in ad-hoc on administrative duties assigned by superior job requirements minimum diploma/ degree studies minimum years of relevant working experience.,acc
4,Accountant,working experience with japanese company is preferred proficient in japanese at least jlpt n in ordet to liaise communicate with japan hq will be advantage able to commit immediately or on short notice interested candidates who wish to apply for the advertised position please email us an updated copy of your resume in word format to cherree.tar@persolsg.com kindly include the following in your resume.,acc
4,Accountant,.,acc
4,Accountant,availability .,acc
4,Accountant,current salary .,acc
4,Accountant,expected salary .,acc
4,Accountant,reason for leaving thank you for your application but we regret only shortlisted applicants will be notified capita pte ltd ea license no.c rcb no.,acc
4,Accountant,m taweesinthanaphat cherree ea registration no.,acc
4,Accountant,r,acc
5,Accountant,regional portfolio listed mnc excellent employee welfare the job responsible for managing the full spectrum of finance accounting functions for regional headquarter in singapore lead the singapore team ensure smooth operation of the daily operational accounting matters month end closing analysis and reporting as well as all financial controlling activities lead the regional offices finance team leader by providing guidance on financial controlling duties financial and management analysis and reporting including reviewing regional financials to ensure timely and accurate submission according to group timelines.,acc
5,Accountant,perform month end closing financial accounting and reporting and ensure timely and accurate submission according to group timelines prepare financial and management analysis and reports co-ordinate and prepare quarterly rolling forecast and annual budget monitor working capital and continue to strive to improve on dso and dpo results by ensuring any initiatives are follow through and identify any process improvements needed.,acc
5,Accountant,prepare and ensure appropriate quality of short term and long term liquidity planning to ensure cash are optimised identify and drive continuous process improvement and develop effective accounting and internal control procedures recommend and implement best practices accounting process financial and internal control policies ensuring a high level of compliance assist in investigation of financial and accounting issues work with relevant department to resolve issues review and filing of gst liaise with external auditor for year-end statutory audit.,acc
5,Accountant,liaising with internal and external auditors tax agents to ensure compliance and proper and timely filing of tax and statutory returns liaise with local banker affiliates and group finance and treasury on related matters oversee the admin function and approve admin expenses perform ad hoc assignments as and when required the talent degree in accounting finance/ acca years of experience in full set accounting with regional coverage in singapore malaysia and philippines.,acc
5,Accountant,proficiency in coda if interested please email your updated cv to grace.leong@capitasingapore.com.,acc
5,Accountant,we regret to inform only shortlisted candidates will be contacted.,acc
5,Accountant,leong ka lai r c capita pte ltd,acc
6,Accountant,job descriptions reporting to senior manager finance assist in financial planning control and data analysis.,acc
6,Accountant,able to assist in performing period end closing procedures and costing of the hospitals products and services.,acc
6,Accountant,job requirements bachelor in accountancy or equivalent at least years of experience in same capacity knowledge of programming or coding experience with anaplan is added advantage proficient in ms office and advance excel applications familiar with oracle accounting software or equivalent able to perform reconciliation of accounts and audit schedules willingness to take up new challenges/role,acc
7,Accountant,responsibilities actively monitor review and resolve direct and indirect taxation issues for the group provide monthly summary on the taxation issues which will affect the group work closely with business managers and project managers to resolve taxation matters related to business and projects i.e.,acc
7,Accountant,advise on withholding tax custom duties and tax treaties evaluate all possible tax savings and planning related issues of the group and seek all possible opportunities to minimize tax exposure maximize tax savings improving tax documentation for interco transactions and major transactions and ensure they are in compliance of oecd guidelines and local transfer pricing regulations assist in drafting and implementation of group transfer pricing policies liaison with the singapore agencies on tax incentive where applicable keep abreast of current taxation developments and conduct training to respective subsidiary finance tax compliance eci computation and form c submission full sets of accounts for smaller entities requirements university degree or professional qualification in accounting at least to years relevant experience with big four accounting firms.,acc
7,Accountant,oil and gas infrastructure/ construction industry experience analytical incisive in identifying and reporting on trends and business risk strong commercial awareness good computer skills including advanced knowledge of excel excellent communication skills,acc
8,Accountant,job description the incumbent will work with the team to perform the daily operations and ensure timely closing of accounts during month-end.,acc
8,Accountant,key responsibilities .,acc
8,Accountant,responsible for all key aspects of the accounts receivable function .,acc
8,Accountant,provide leadership and guidance to members of the team .,acc
8,Accountant,ensure timely resolution of issues and queries .,acc
8,Accountant,ensure procedures are in compliance with prevailing corporate policies and regulatory requirements .,acc
8,Accountant,to liaise and follow up with vendors and customers relating to billings and collections .,acc
8,Accountant,actively assist the team in collections and resolving issues .,acc
8,Accountant,review monthly balance sheet schedules and ensure adequate follow-up of aged items .,acc
8,Accountant,review and/or prepare monthly reports on receivables and collections .,acc
8,Accountant,monitor aged invoices and bad debts provisions to ensure adequate follow-up and initiate write-off when necessary .,acc
8,Accountant,standardize processes and implement best practices .,acc
8,Accountant,review processes periodically to ensure effectiveness and efficiency .,acc
8,Accountant,prepare ad hoc reports and participate in projects .,acc
8,Accountant,liaise with internal and external auditors as necessary .,acc
8,Accountant,partner with accounting support on process improvements and changes .,acc
8,Accountant,resource planning staff development .,acc
8,Accountant,prepare/review kpi reports key requirements at least a bachelor degree in accounting or equivalent at least years relevant working experience preferably from a mnc environment people management experience is a must cpa or ca membership are desired must be proficient in ms excel/computer savvy sap experience is an advantage strong command of written and spoken english is required,acc
9,Accountant,financial and statutory reporting ensure accurate and timely delivery of monthly quarterly and annual financial reports including analysis and commentaries on variances ensure financial and statutory reports are in compliance with sfrsi preparation of accounting position papers for financial instruments including derivatives non-financial investments implementation of new accounting standards and other matters assist in internal and external audit matters of the company during audit periods bachelor degree in accountancy or acca with minimum years experience in audit and/or accounting in large singapore organisation experience with sap or equivalent erp system and excellent excel skills strong working knowledge of ifrs accounting and reporting.,acc
9,Accountant,experience in drafting technical accounting papers is highly valued self motivated resourceful hands-on and meticulous excellent report writing and analytical skills applicants who have worked in singapore listed company experience is an added advantage we regret that only shortlisted applicants will be notified.,acc
10,Accountant,we are looking for a ca or equivalent with prior experience with one of the big audit firms.,acc
10,Accountant,this team member will be responsible for partnering with the business on day-to-day operations as well as managing statutory reporting requirements.,acc
10,Accountant,role summary manage all aspects of the finance function including financial reporting management analysis internal control treasury and cash flow management.,acc
10,Accountant,manage an outsourced accounting firm.,acc
10,Accountant,partner with internal stakeholders to balance compliance and efficiency.,acc
10,Accountant,produce monthly corporate management pack including pl balance sheet and variance analysis.,acc
10,Accountant,liaise with external stakeholders including auditors tax authorities tax advisors bankers corporate secretary.,acc
10,Accountant,train internal stakeholders on the optimum use of all systems to drive productivity.,acc
10,Accountant,projects and ad-hoc duties minimum requirements the successful applicant will have training with one of the big audit firms and have at least years of post-qualification ca/acca or equivalent experience as finance professional.,acc
10,Accountant,prior strong experience of best practices in finance and accounting processes preferably in a mnc environment.,acc
10,Accountant,possess sound accounting/finance analytical and interpersonal skills demonstrate strong work initiative and the ability to adapt new challenges and ideas.,acc
10,Accountant,an independent player with dedication to teamwork.,acc
10,Accountant,results-oriented plus ability to balance multiple priorities and projects.,acc
10,Accountant,comfortable working in a dynamic and fast-paced environment.,acc
10,Accountant,good to have experience in sun systems.,acc
11,Accountant,responsible for collecting and checking invoices and originate the invoice approval procedure responsible for the invoices exchange with divisions code invoice timely and accurately collect vendors information and apply for new vendor code duly prepare payment voucher according to the due date clear ap promptly communicate with vendors prepare ap aging and reconciliation monthly reconcile ap statement with vendors statement responsible for filing invoices and ap documents other duties as assigned candidate must possess at least bachelor's degree/post graduate diploma/professional degree in finance/accountancy/banking or equivalent.,acc
11,Accountant,at least years of working experience in the related field is required for this position.,acc
11,Accountant,preferably junior executive specialized in finance - general/cost accounting or equivalent.,acc
12,Accountant,duties consolidation for group listed on sgx maintain full set of company accounts manage monthly quarterly and year end closing activities.,acc
12,Accountant,monitor the intercompany transactions and perform interco reconciliation.,acc
12,Accountant,analysis of monthly management reports for both financial and management reporting.,acc
12,Accountant,gst reporting liaise with external auditors assist with quarterly sgx announcement assist in the preparation of corporate tax submission other duties that may be assigned from time to time.,acc
12,Accountant,requirement degree in accountancy or acca qualification.,acc
12,Accountant,minimum years of relevant experience.,acc
12,Accountant,able to travel on short notice independent and self-motivated.,acc
12,Accountant,team player with good communication and interpersonal skills.,acc
12,Accountant,a competitive remuneration package that commensurate with relevant experience and qualifications will be offered to the successful candidate.,acc
12,Accountant,interested candidates are invited to apply online stating your current and expected salary and date of availability to us.,acc
12,Accountant,we regret that only shortlisted candidates will be notified.,acc
12,Accountant,thank you for your application.,acc
13,Accountant,responsibilities input journal entries accruals prepayments etc into sap prepare schedules for month end and year end closing fixed asset accounting and monitoring perform monthly inventory review and report review vendor invoices and supporting documents for payment lead in stocktake and fixed asset count assist in annual budget exercise and annual audit ad-hoc analysis/reporting qualification/experience degree in accountancy / acca at least years relevant accounting experience preferred experience in sap will be an advantage must be proficient in microsoft excel,acc
14,Accountant,requirements possess at least a degree in accounting/acca preferably with at least years of working experience in the related field experience in full set of accounting proficient with quickbook accounting software experience/familiar with auditing process willing to take initiatives able to work independently and take on additional responsibilities have good analytical skills well organize and able to instruction clearly willing to travel overseas if required kindly apply with a complete resume primary job responsibiliies monthly payroll and cpf submission less than headcounts full set of accounts for entities setup and updating of transaction using quickbook issuing cheque for internal and external payments setup proper accounting filing system directors' expenses and claims able to handle annual auditing assist executive director in daily administration basic administrative work such as office inventory control petty cash,acc
15,Accountant,accountants job scope handle all aspects of the financial accounting matters.,acc
15,Accountant,execute day-to-day operation in accounting.,acc
15,Accountant,ensure proper month-end closing of accounts on timely basis.,acc
15,Accountant,prepare and provide timely accurate financial information and monthly reports to management and the board.,acc
15,Accountant,prepare consolidation of group accounts.,acc
15,Accountant,responsible for year-end audit.,acc
15,Accountant,closing of group accounts.,acc
15,Accountant,liaison and work with subsidiaries external parties bankers tax agents and auditors.,acc
15,Accountant,prepare audit schedules provision and budget schedules etc.,acc
15,Accountant,requirements recognized degree in accountancy or cpa/acca good knowledge of accounting practices and standards.,acc
15,Accountant,good communication analytical and problem solving skills.,acc
15,Accountant,interested candidates please kindly send us your resume with a recent photograph and indicate your current expected salaries to eric@jobstudio.com.sg we regret that only shortlisted candidates will be notified jobstudio pte ltd license no.,acc
15,Accountant,c posting personnel khor jun xiong eric registration no.,acc
15,Accountant,r,acc
